u,view_over,K,beat_cv,rho,N_beats,estimator,axis,estimand,bias_mcse,relbias_pct_mcse,rmse_mcse,sd_err_mcse,bias,relbias_pct,rmse,sd_err,panel,s_det,f_rej
base,True,1,0.15,0.3,3.0,A3,AP,T1,0.0064144788616132,0.0602618486105945,0.00664129523772,0.0045357441796021,-0.1978563580017708,-1.5720106195534802,2.0380529677785653,2.0284363205701967,j,,
base,True,2,0.15,0.3,3.0,A3,AP,T1,0.0064152373719666,0.0597482274370683,0.00722141020907,0.0045362805300983,0.2207257616962373,2.558096361763885,2.0406385668397027,2.028676182604743,j,,
base,True,3,0.15,0.3,3.0,A3,AP,T1,0.0064558061752536,0.0597565272458079,0.0075676160779434,0.0045649671494406,0.5389543142012205,5.6254157246467225,2.1114387068080065,2.0415051646381723,j,,
base,True,4,0.15,0.3,3.0,A3,AP,T1,0.0065357777699004,0.0602335389765743,0.0084333225841043,0.0046215158890621,0.7812165924306991,7.984978690843166,2.209501245451227,2.066794403358144,j,,
base,True,1,0.15,0.3,3.0,A4,AP,T1,0.0064144788616132,0.0602618486105945,0.00664129523772,0.0045357441796021,-0.1978563580017708,-1.5720106195534802,2.0380529677785653,2.0284363205701967,j,,
base,True,2,0.15,0.3,3.0,A4,AP,T1,0.0062962703291666,0.0589387185216228,0.0067457018688948,0.0044521577067816,0.1463516789027118,1.963851213944908,1.9964170848527787,1.9910555004304835,j,,
base,True,3,0.15,0.3,3.0,A4,AP,T1,0.0062121376602304,0.0581792672862926,0.0069022568043774,0.0043926666286013,0.4137415331361144,4.622960454140025,2.0075380187067022,1.964450414483735,j,,
base,True,4,0.15,0.3,3.0,A4,AP,T1,0.0062024818769781,0.0582312771057574,0.0073706320862975,0.0043858389246473,0.6065177210049857,6.582875684138906,2.0530229951308123,1.9613969877167252,j,,
base,True,1,0.15,0.3,3.0,A5,AP,T1,0.0064144788616132,0.0602618486105945,0.00664129523772,0.0045357441796021,-0.1978563580017708,-1.5720106195534802,2.0380529677785653,2.0284363205701967,j,,
base,True,2,0.15,0.3,3.0,A5,AP,T1,0.0061825348542863,0.0557386319207644,0.006401577493351,0.0043717341791135,-0.9464267701251928,-8.455838117424806,2.1721093733785404,1.9550891852922043,j,,
base,True,3,0.15,0.3,3.0,A5,AP,T1,0.0062695824069716,0.0559282081410975,0.0071220141672686,0.0044332864016649,-1.11988279453295,-10.07630270705948,2.2770297586127923,1.9826160384151184,j,,
base,True,4,0.15,0.3,3.0,A5,AP,T1,0.0059332959366588,0.0519818761028048,0.0067773481202293,0.0041954947691243,-1.319416494009738,-11.859247804958954,2.293735980417432,1.8762729191664096,j,,
base,True,1,0.15,0.3,3.0,A6,AP,T1,0.0077195224452974,0.0725910498735504,0.0078181627791663,0.0054585539614295,-0.2315912219719335,-2.0914210248728264,2.4520761777344333,2.441127337593236,j,,
base,True,2,0.15,0.3,3.0,A6,AP,T1,0.0077208513989206,0.0726116575054128,0.0079399005237975,0.005459493678247,-0.2458362678635929,-2.1866501171939627,2.4538807003341225,2.4415475896286574,j,,
base,True,3,0.15,0.3,3.0,A6,AP,T1,0.0077299043078592,0.0726220829205106,0.0081782764179003,0.0054658950835541,-0.2420636919139693,-2.225967437773716,2.4563544411156317,2.444410370798257,j,,
base,True,4,0.15,0.3,3.0,A6,AP,T1,0.007703359202232,0.0723582962553302,0.0078227863159833,0.0054471247655059,-0.2376883271938597,-2.085740521008398,2.4475724093481928,2.436016071347088,j,,
base,True,1,0.15,0.3,3.0,A7,AP,T1,0.0063077000585337,0.0600069315697605,0.0062048571589571,0.0044602397863347,0.2384831001370146,2.470081672213688,2.0088659499363457,1.99466989821442,j,,
base,True,2,0.15,0.3,3.0,A7,AP,T1,0.0056756063256488,0.0550469559970345,0.0056953113834312,0.0040132797866606,0.2474761796531296,2.639528706713044,1.81175687203419,1.7947843091509823,j,,
base,True,3,0.15,0.3,3.0,A7,AP,T1,0.0054089789585981,0.0527319368003975,0.0051717633822464,0.003824744824692,0.2669869540749441,2.8258541898687044,1.73117246802525,1.7104693325095874,j,,
base,True,4,0.15,0.3,3.0,A7,AP,T1,0.0053084707261363,0.0523536550279213,0.0050182221254243,0.0037536744166003,0.2764874811455417,2.9935544355770305,1.7012945930653671,1.6786858386918913,j,,
base,True,3,0.05,0.3,3.0,A1,AP,T1,0.0053347262397108,0.0518670938772687,0.0054612211320673,0.0037722399611203,-0.3224915112763145,-2.7686188174498567,1.7175280844304068,1.6869885610951705,k,,
base,True,3,0.1,0.3,3.0,A1,AP,T1,0.0057499690558273,0.0550482046895678,0.0062353501400243,0.0040658624403513,-0.2692083660864204,-2.274588666711697,1.838111665956108,1.8182998691902168,k,,
base,True,3,0.15,0.3,3.0,A1,AP,T1,0.0064115546076455,0.0600869130848068,0.0064728690451801,0.0045336764094527,-0.2054573046291033,-1.654106942090907,2.037884894854243,2.027511590270724,k,,
base,True,3,0.2,0.3,3.0,A1,AP,T1,0.0072023562573631,0.0659528451998107,0.0077057945870133,0.0050928604144685,-0.1512518833090493,-1.1193104482176337,2.282590375881456,2.277585029323333,k,,
base,True,3,0.25,0.3,3.0,A1,AP,T1,0.0081522602058588,0.073625048895434,0.0088978293514202,0.0057645472963685,-0.0828575439895698,-0.4364740373470012,2.579289351672754,2.577971032886704,k,,
base,True,3,0.3,0.3,3.0,A1,AP,T1,0.0091332254093811,0.0815653511283947,0.01012592075184,0.006458197912149,0.0027842285492298,0.4200895737814502,2.8881663688192947,2.8881794677368293,k,,
base,True,3,0.05,0.3,3.0,A2,AP,T1,0.0055847852195505,0.0495059041810908,0.0063419892869359,0.0039490592455602,-1.2954874512327932,-11.699184286073454,2.190260062487273,1.766064153662336,k,,
base,True,3,0.1,0.3,3.0,A2,AP,T1,0.0056799665351393,0.050387973376401,0.0061711002873946,0.0040163629357745,-1.244055247965104,-11.234317101098554,2.184912625712963,1.796163128457501,k,,
base,True,3,0.15,0.3,3.0,A2,AP,T1,0.0058848443076988,0.0521590155491196,0.006362113875009,0.0041612341224235,-1.1818644834460097,-10.599920980296144,2.2045199655308463,1.8609511687805096,k,,
base,True,3,0.2,0.3,3.0,A2,AP,T1,0.0061210417032677,0.0539565942351166,0.0065126488111903,0.004328251737619,-1.1250516739308531,-10.061501627799643,2.2388432180877245,1.9356433435202665,k,,
base,True,3,0.25,0.3,3.0,A2,AP,T1,0.0064766434489977,0.057086057174799,0.0069674600357646,0.0045797014006779,-1.0703283516507842,-9.467360484168132,2.3108984984160723,2.0480944891641446,k,,
base,True,3,0.3,0.3,3.0,A2,AP,T1,0.0068344319407601,0.0599707262559749,0.0070798481468781,0.0048326973344165,-0.9980300651901688,-8.762544191985725,2.380538446833361,2.161237144620704,k,,
base,True,3,0.05,0.3,3.0,A3,AP,T1,0.0055543672633692,0.0530557827472757,0.0065961410360164,0.00392755039493,0.1662171715250126,2.241151092128318,1.7642836695817472,1.756445151332303,k,,
base,True,3,0.1,0.3,3.0,A3,AP,T1,0.0059069854669863,0.0555342210253981,0.0076921850428217,0.0041768903645804,0.3176878070746495,3.605774899959619,1.8947660491483893,1.867952818119024,k,,
base,True,3,0.15,0.3,3.0,A3,AP,T1,0.0064558061752536,0.0597565272458079,0.0075676160779434,0.0045649671494406,0.5389543142012205,5.6254157246467225,2.1114387068080065,2.0415051646381723,k,,
base,True,3,0.2,0.3,3.0,A3,AP,T1,0.0071557021363331,0.0646087964080265,0.0095788062771158,0.0050598708041695,0.77592834666574,7.790939300669093,2.392158209959932,2.26283170085456,k,,
base,True,3,0.25,0.3,3.0,A3,AP,T1,0.0080441288779024,0.0718707663777543,0.0111567185733368,0.005688086518807,1.0492118262001535,10.32975920911256,2.751650720687368,2.5437769046106333,k,,
base,True,3,0.3,0.3,3.0,A3,AP,T1,0.0090047642970976,0.0792677661121791,0.0124296595817988,0.0063673617343525,1.3408119430840917,13.056654969704958,3.147423324811171,2.8475564971793825,k,,
base,True,3,0.05,0.3,3.0,A4,AP,T1,0.0053346594832376,0.0517551731647031,0.00574210914948,0.0037721927569294,0.0926100458796969,1.6739518543115572,1.689499139454003,1.6869674508447932,k,,
base,True,3,0.1,0.3,3.0,A4,AP,T1,0.0056601716179154,0.0540978007861692,0.0068095400367135,0.0040023657455863,0.2236307552972973,2.8631856094706807,1.8038106750980367,1.7899034260053082,k,,
base,True,3,0.15,0.3,3.0,A4,AP,T1,0.0062121376602304,0.0581792672862926,0.0069022568043774,0.0043926666286013,0.4137415331361144,4.622960454140025,2.0075380187067022,1.964450414483735,k,,
base,True,3,0.2,0.3,3.0,A4,AP,T1,0.0068746214950471,0.0629705685812923,0.0082277017649398,0.0048611157828783,0.6096336716781192,6.44469921762658,2.2577971616687518,2.1739461975900936,k,,
base,True,3,0.25,0.3,3.0,A4,AP,T1,0.0077855311136907,0.0701113665992649,0.0101878663859513,0.0055052293718452,0.8407416999977332,8.581430687611254,2.60158326098647,2.4620011113370035,k,,
base,True,3,0.3,0.3,3.0,A4,AP,T1,0.0087233740252487,0.0774071144564197,0.0113514489186552,0.0061683877700959,1.084447120254432,10.890520497366856,2.964063915945838,2.758573080133719,k,,
base,True,3,0.05,0.3,3.0,A5,AP,T1,0.0058222731291255,0.0524138268356056,0.0070623285614233,0.0041169893965233,-1.166125119763755,-10.59531181667546,2.179380722841566,1.8411644247632488,k,,
base,True,3,0.1,0.3,3.0,A5,AP,T1,0.0059690072990824,0.0536466046919297,0.0068327630102602,0.0042207466419191,-1.1409840586664448,-10.349435906152875,2.2056096224701127,1.8875658435270373,k,,
base,True,3,0.15,0.3,3.0,A5,AP,T1,0.0062695824069716,0.0559282081410975,0.0071220141672686,0.0044332864016649,-1.11988279453295,-10.07630270705948,2.2770297586127923,1.9826160384151184,k,,
base,True,3,0.2,0.3,3.0,A5,AP,T1,0.0065702332422681,0.058099657095655,0.007168358658198,0.0046458797090417,-1.1078520296155254,-9.93147060361582,2.3545890166521453,2.077690180412021,k,,
base,True,3,0.25,0.3,3.0,A5,AP,T1,0.0070578617957771,0.0619598985637908,0.007771902413986,0.0049906868899682,-1.1048036667878731,-9.781672081726915,2.490357934427061,2.231891868534185,k,,
base,True,3,0.3,0.3,3.0,A5,AP,T1,0.0074710587211116,0.0652198655528209,0.0079388209680531,0.0052828626987204,-1.0828718192547078,-9.5509195986257,2.598889647839508,2.362556209157737,k,,
base,True,3,0.05,0.3,3.0,A6,AP,T1,0.005957021462315,0.0591337822447924,0.0055637649673874,0.004212271333086,-0.3556794987110957,-3.2540780973739927,1.917050570524128,1.8837755891422443,k,,
base,True,3,0.1,0.3,3.0,A6,AP,T1,0.0066873841129429,0.0644992296927853,0.0070670382413999,0.0047287182983117,-0.3098475866175874,-2.846225240527517,2.1373047123025533,2.1147365385324552,k,,
