cell,u_anchor,u_long,anchor_mean_pct,long_mean_pct,combo,axis,estimand,cutoff_mm,estimator,nri_events_vs_A1_mcse,nri_nonevents_vs_A1_mcse,nri_vs_A1_mcse,ppv_mcse,prevalence_mcse,sensitivity_mcse,specificity_mcse,nri_events_vs_A1,nri_nonevents_vs_A1,nri_vs_A1,ppv,prevalence,sensitivity,specificity,panel
7,0.125,0.25,10.0,20.0,10/20,AP,T1,10.0,A1,0.0,0.0,0.0,0.0014371643563887,0.0015811382178671,0.0018916300555006,0.0012318386068482,0.0,0.0,0.0,0.90282028344084,0.50044,0.7663256334425705,0.917367283209224,AP sensitivity 10 mm
8,0.125,0.5,10.0,40.0,10/40,AP,T1,10.0,A1,0.0,0.0,0.0,0.0014444301652394,0.0015811261809229,0.0018977071966511,0.0012420323571932,0.0,0.0,0.0,0.9017018572134736,0.502,0.7630876494023905,0.916144578313253,AP sensitivity 10 mm
9,0.25,0.1,20.0,8.0,20/8,AP,T1,10.0,A1,0.0,0.0,0.0,0.0014789170744136,0.0015811378734949,0.0021819875263666,0.0009916935894551,0.0,0.0,0.0,0.9214566334239952,0.49945,0.6104915406947642,0.9480771151733094,AP sensitivity 10 mm
10,0.25,0.25,20.0,20.0,20/20,AP,T1,10.0,A1,0.0,0.0,0.0,0.0014739896361695,0.0015811369061532,0.0021803556517225,0.0009903487785768,0.0,0.0,0.0,0.92180859080633,0.49922,0.6125756179640238,0.9482008067414832,AP sensitivity 10 mm
11,0.25,0.5,20.0,40.0,20/40,AP,T1,10.0,A1,0.0,0.0,0.0,0.001478013978449,0.0015811109357031,0.0021723294247942,0.0010089815501657,0.0,0.0,0.0,0.9205964975195744,0.50297,0.6124619758633716,0.9465424622256202,AP sensitivity 10 mm
0,0.03,0.1,2.4,8.0,2.4/8,AP,T1,10.0,A2,0.0013132946896057,0.0012794405113361,0.0018334969222212,0.0013662619916704,0.0015811364365544,0.0015655130490929,0.0012980884020103,-0.0047682968364955,0.0392916325593467,0.0345233357228512,0.9017744246817836,0.49913,0.8573117223969707,0.9069419210573602,AP sensitivity 10 mm
1,0.03,0.25,2.4,20.0,2.4/20,AP,T1,10.0,A2,0.0016882435654149,0.0013755453786762,0.0021776802852949,0.0012215468510651,0.001581138160946,0.0019566138295681,0.0009728839638161,-0.1219321776033951,0.0865603644646925,-0.0353718131387026,0.9369647052878908,0.49954,0.7424030107699083,0.9501458658034608,AP sensitivity 10 mm
2,0.03,0.5,2.4,40.0,2.4/40,AP,T1,10.0,A2,0.0021630839955154,0.0014530963537457,0.0026058436992506,0.0011528108881981,0.0015811384202529,0.0022308520454177,0.0006434815678915,-0.3342393476696778,0.1121007125130093,-0.2221386351566684,0.9618014107433532,0.50036,0.5313973938764089,0.9788647826435032,AP sensitivity 10 mm
3,0.06,0.1,4.8,8.0,4.8/8,AP,T1,10.0,A2,0.0013725766435488,0.0012186660999847,0.0018355145615515,0.0013535870683838,0.0015811353436692,0.0016075361551197,0.0012667402690153,0.0108227277282292,0.0258656820676579,0.0366884097958872,0.905448786542824,0.49895,0.8479406754183786,0.9118251671489872,AP sensitivity 10 mm
4,0.06,0.25,4.8,20.0,4.8/20,AP,T1,10.0,A2,0.0016861075613577,0.0012859164387223,0.0021205046087769,0.0012090816489284,0.0015811370984199,0.001977457496464,0.0009528144178391,-0.1046650956584255,0.0685013820454272,-0.0361637136129982,0.9391860762733556,0.50074,0.7327954627151815,0.9524095661579136,AP sensitivity 10 mm
5,0.06,0.5,4.8,40.0,4.8/40,AP,T1,10.0,A2,0.0021560913896889,0.0013787514610042,0.0025592353686037,0.0011293058495632,0.0015811328947941,0.0022313540462815,0.000616624674906,-0.3159343399086503,0.0977678840021659,-0.2181664559064843,0.9642936513815838,0.50137,0.5192572351756188,0.9806670276557768,AP sensitivity 10 mm
6,0.125,0.1,10.0,8.0,10/8,AP,T1,10.0,A2,0.0015477636960369,0.0011341227413459,0.0019188034946831,0.0013005564180921,0.0015811385261892,0.0017058478626383,0.0011714321602385,0.0578958954551822,0.0104135436029661,0.0683094390581483,0.9172890424701816,0.49969,0.8234105145190018,0.925845975495193,AP sensitivity 10 mm
