u,view_over,rho,N_beats,estimator,axis,estimand,bias_mcse,relbias_pct_mcse,rmse_mcse,sd_err_mcse,bias,relbias_pct,rmse,sd_err,panel,K,beat_cv,s_det,f_rej
base,True,0.3,7.0,A1,AP,T1,0.0057105323840691,0.0535512407451022,0.005840842189493,0.0040379763628929,-0.2114232967757612,-1.571586076904638,1.818154341960456,1.8058288985809916,c,,,,
base,True,0.3,10.0,A1,AP,T1,0.0054915635758261,0.0514619688748586,0.0061007535925226,0.0038831412595385,-0.2091719331431787,-1.5631575533503497,1.749128294630894,1.7365848815229368,c,,,,
base,True,0.3,13.0,A1,AP,T1,0.0053519171022041,0.050292968254372,0.0056214128263126,0.0037843957973431,-0.2328711545517239,-1.808419435624666,1.7083623732955888,1.692424789137335,c,,,,
base,True,0.3,1.0,A2,AP,T1,0.0064705381893433,0.0582854118105318,0.0068037762979497,0.0045753843085899,-1.2381971233623166,-11.452536331032054,2.391626370153438,2.046163836542679,c,,,,
base,True,0.3,3.0,A2,AP,T1,0.0058848443076988,0.0521590155491196,0.006362113875009,0.0041612341224235,-1.1818644834460097,-10.599920980296144,2.2045199655308463,1.8609511687805096,c,,,,
base,True,0.3,5.0,A2,AP,T1,0.0057283010113875,0.0505871815969441,0.0061942357293192,0.0040505407425842,-1.1752291432271855,-10.50762099369306,2.159276261473819,1.811447831903068,c,,,,
base,True,0.3,7.0,A2,AP,T1,0.0056778298019729,0.0498051722759264,0.0063068214544199,0.0040148520297084,-1.186981416303165,-10.518012038792088,2.1523632990076407,1.7954874341017395,c,,,,
base,True,0.3,10.0,A2,AP,T1,0.0056382628866135,0.0495168834828155,0.0063336837716655,0.0039868738556559,-1.1830913809331356,-10.551302846639588,2.1397836954903293,1.7829752768494451,c,,,,
base,True,0.3,13.0,A2,AP,T1,0.005598394970368,0.0493854534921217,0.0063047504687412,0.0039586828407715,-1.199467690670146,-10.757575164211982,2.138432609029224,1.7703679347593833,c,,,,
base,True,0.3,1.0,A3,AP,T1,0.0078285827162051,0.0711796947391033,0.0106173416321268,0.0055356716041356,0.8695513101328033,8.583430772789189,2.6238766984545867,2.475615223423586,c,,,,
base,True,0.3,3.0,A3,AP,T1,0.0064558061752536,0.0597565272458079,0.0075676160779434,0.0045649671494406,0.5389543142012205,5.6254157246467225,2.1114387068080065,2.0415051646381723,c,,,,
base,True,0.3,5.0,A3,AP,T1,0.0060838579450933,0.0565110825475115,0.0073359625104944,0.0043019587185985,0.4261333395777406,4.5738928151746645,1.9705038338911505,1.9238848067406584,c,,,,
base,True,0.3,7.0,A3,AP,T1,0.0058925551737739,0.0546932176557446,0.0070349110402394,0.0041666865553762,0.3614209539968319,3.968693154508175,1.898107223361869,1.8633895587334923,c,,,,
base,True,0.3,10.0,A3,AP,T1,0.005782536318543,0.0533981383781963,0.0078145937153791,0.0040888910878058,0.3118649548395099,3.4452823232158667,1.8549929756895844,1.8285985419240949,c,,,,
base,True,0.3,13.0,A3,AP,T1,0.00565689036033,0.0528088727594678,0.0067846908940629,0.0040000455344958,0.254015452089001,2.8435376328383017,1.806801788899644,1.7888658012493623,c,,,,
base,True,0.3,1.0,A4,AP,T1,0.0075736659543871,0.0695839166302412,0.009439301974125,0.0053554173319424,0.6622045531679807,6.825703849334818,2.4848539411170147,2.39500346531364,c,,,,
base,True,0.3,3.0,A4,AP,T1,0.0062121376602304,0.0581792672862926,0.0069022568043774,0.0043926666286013,0.4137415331361144,4.622960454140025,2.0075380187067022,1.964450414483735,c,,,,
base,True,0.3,5.0,A4,AP,T1,0.0058468406115328,0.0550374891038961,0.0066187431918389,0.00413436131679,0.3199770739232789,3.7487704406170823,1.876407646530567,1.848933344841564,c,,,,
base,True,0.3,7.0,A4,AP,T1,0.0056670923566693,0.0533642767778047,0.0063818806491403,0.0040072594713587,0.2686001012503763,3.268032434890697,1.8121002942326117,1.7920919557606367,c,,,,
base,True,0.3,10.0,A4,AP,T1,0.005498210060968,0.0519210540321267,0.006435393575933,0.0038878410577525,0.2228798979819429,2.7874610811528253,1.752905190266605,1.7386866846712308,c,,,,
base,True,0.3,13.0,A4,AP,T1,0.0054116657344694,0.051358589502202,0.0060449219898954,0.0038266446716294,0.1720072803265894,2.2345501764838875,1.7199330860595805,1.7113189656411525,c,,,,
base,True,0.3,1.0,A5,AP,T1,0.0070007474582749,0.0631921071668958,0.007678739478536,0.0049503007526863,-1.2460593279009675,-11.512629989651902,2.5404057423251136,2.213830729178357,c,,,,
base,True,0.3,3.0,A5,AP,T1,0.0062695824069716,0.0559282081410975,0.0071220141672686,0.0044332864016649,-1.11988279453295,-10.07630270705948,2.2770297586127923,1.9826160384151184,c,,,,
base,True,0.3,5.0,A5,AP,T1,0.0060551877380625,0.0538695444158,0.0068355581902897,0.0042816857194237,-1.0934031048948505,-9.79968783317526,2.2049996686651463,1.914818491220055,c,,,,
