cell,u_anchor,u_long,anchor_mean_pct,long_mean_pct,combo,K,beat_cv,view_over,window,S_median_mm,axis,estimand,estimator,bias_mcse,relbias_pct_mcse,rmse_mcse,sd_err_mcse,bias,relbias_pct,rmse,sd_err,panel,quantity,inflation,inflation_mcse,n,bias_min,bias_min_mcse,bias_min_combo,bias_max,bias_max_mcse,bias_max_combo,bias_range,bias_range_mcse,maxabs_bias,maxabs_bias_mcse,maxabs_bias_combo,maxabs_argmax_clear,rmse_min,rmse_max,rmse_max_mcse,rmse_max_combo,mean_abs_bias
468.0,0.125,0.1,10.0,8.0,10/8,3,0.15,True,0.0,10.0,AP,T1,A2,0.0052290013700712,0.0489025118965867,0.0054329005927922,0.0036974808150614,-0.553079374251373,-5.113302789764694,1.743592551196418,1.653555421756607,b,rmse,,,,,,,,,,,,,,,,,,,,
684.0,0.25,0.1,20.0,8.0,20/8,3,0.15,True,0.0,10.0,AP,T1,A2,0.0055017655215537,0.0502370219400135,0.0056491047539246,0.0038903551606134,-0.9203523747745824,-8.512568572063484,1.9682379454083143,1.739811020029412,b,rmse,,,,,,,,,,,,,,,,,,,,
36.0,0.03,0.1,2.4,8.0,2.4/8,3,0.15,True,0.0,10.0,AP,T1,A3,0.0063496972099562,0.0575946186152031,0.0092418893207343,0.0044899364053794,0.9197770079649944,8.864379160144136,2.2085775719994416,2.007950563587802,b,rmse,,,,,,,,,,,,,,,,,,,,
252.0,0.06,0.1,4.8,8.0,4.8/8,3,0.15,True,0.0,10.0,AP,T1,A3,0.006315971006186,0.0577953894895347,0.00878229212984,0.0044660882587489,0.821609259082777,7.995242204141148,2.1596645244618657,1.9972854015133383,b,rmse,,,,,,,,,,,,,,,,,,,,
468.0,0.125,0.1,10.0,8.0,10/8,3,0.15,True,0.0,10.0,AP,T1,A3,0.0063555476803633,0.0580040125065863,0.0110932831827372,0.0044940733333622,0.6792338101101266,6.64748426841263,2.121465721511341,2.0098006447748085,b,rmse,,,,,,,,,,,,,,,,,,,,
684.0,0.25,0.1,20.0,8.0,20/8,3,0.15,True,0.0,10.0,AP,T1,A3,0.0064343649671683,0.0586967721114706,0.0084742300310007,0.00454980585,0.555850782457942,5.446824192995062,2.1092733214021715,2.034724859304661,b,rmse,,,,,,,,,,,,,,,,,,,,
36.0,0.03,0.1,2.4,8.0,2.4/8,3,0.15,True,0.0,10.0,AP,T1,A4,0.0059128998522308,0.0552140204442875,0.0076057405433073,0.004181072487404,0.762640753204349,7.649584222716921,2.019362380137504,1.8698231109522552,b,rmse,,,,,,,,,,,,,,,,,,,,
252.0,0.06,0.1,4.8,8.0,4.8/8,3,0.15,True,0.0,10.0,AP,T1,A4,0.005895031230632,0.05533620009544,0.0074348999358753,0.0041684374007255,0.6422000197978917,6.590068796031039,1.971680865416086,1.8641725566622644,b,rmse,,,,,,,,,,,,,,,,,,,,
468.0,0.125,0.1,10.0,8.0,10/8,3,0.15,True,0.0,10.0,AP,T1,A4,0.0059458467860557,0.0555970291228662,0.0102073095184323,0.0042043696042168,0.4390675614241449,4.735824630682939,1.9308170215548488,1.8802418462328176,b,rmse,,,,,,,,,,,,,,,,,,,,
684.0,0.25,0.1,20.0,8.0,20/8,3,0.15,True,0.0,10.0,AP,T1,A4,0.0062223438634507,0.057392053785477,0.0075164692792265,0.0043998835401932,0.1888156210145119,2.393947083076406,1.9767065884137465,1.967677899327624,b,rmse,,,,,,,,,,,,,,,,,,,,
108.0,0.03,0.25,2.4,20.0,2.4/20,3,0.15,True,0.0,10.0,AP,T1,A1,0.0060101818923375,0.0566914964909042,0.0061582410932037,0.0042498616215976,0.0048963291643955,0.078232510836747,1.9005831972452771,1.9005863931687437,b,rmse,,,,,,,,,,,,,,,,,,,,
324.0,0.06,0.25,4.8,20.0,4.8/20,3,0.15,True,0.0,10.0,AP,T1,A1,0.00606791746819,0.0569156257326333,0.0065455408808757,0.0042906870429263,-0.2557310402631477,-2.34581849354938,1.935800554139888,1.9188439853402948,b,rmse,,,,,,,,,,,,,,,,,,,,
540.0,0.125,0.25,10.0,20.0,10/20,3,0.15,True,0.0,10.0,AP,T1,A1,0.0064554799758443,0.0593774824975494,0.0065602578428452,0.004564736490473,-0.8312202133579867,-7.674662468740147,2.204134193220986,2.0414020113276927,b,rmse,,,,,,,,,,,,,,,,,,,,
756.0,0.25,0.25,20.0,20.0,20/20,3,0.15,True,0.0,10.0,AP,T1,A1,0.0081760236760609,0.0707290210340469,0.0100975002989716,0.0057813506913101,-1.9274649101480417,-17.814585280966934,3.224870609441521,2.5854857019815216,b,rmse,,,,,,,,,,,,,,,,,,,,
108.0,0.03,0.25,2.4,20.0,2.4/20,3,0.15,True,0.0,10.0,AP,T1,A2,0.0057377095129738,0.051528627498682,0.0061649242629956,0.004057193591121,-1.1582414482249794,-10.673829939721568,2.1525848128710114,1.8144230613412864,b,rmse,,,,,,,,,,,,,,,,,,,,
324.0,0.06,0.25,4.8,20.0,4.8/20,3,0.15,True,0.0,10.0,AP,T1,A2,0.0058078362668946,0.0517642943668556,0.0063371700844926,0.0041067809422984,-1.247259830426618,-11.448241075928104,2.2200719726935554,1.8365990880716787,b,rmse,,,,,,,,,,,,,,,,,,,,
540.0,0.125,0.25,10.0,20.0,10/20,3,0.15,True,0.0,10.0,AP,T1,A2,0.0059183133749653,0.0521611001800055,0.0066687448849484,0.0041849004451795,-1.4400372109750528,-13.282821506856395,2.3614223389705207,1.8715350171528715,b,rmse,,,,,,,,,,,,,,,,,,,,
756.0,0.25,0.25,20.0,20.0,20/20,3,0.15,True,0.0,10.0,AP,T1,A2,0.006258769262683,0.053721863896151,0.0074602908837791,0.004425640315782,-1.7970765276526608,-16.616391385815454,2.6733245486468946,1.9791966219531247,b,rmse,,,,,,,,,,,,,,,,,,,,
108.0,0.03,0.25,2.4,20.0,2.4/20,3,0.15,True,0.0,10.0,AP,T1,A3,0.0061687585893138,0.057110822637441,0.0075649878182577,0.0043619928400253,0.5466747792374969,5.385321622860833,2.02587598682525,1.9507327477959011,b,rmse,,,,,,,,,,,,,,,,,,,,
324.0,0.06,0.25,4.8,20.0,4.8/20,3,0.15,True,0.0,10.0,AP,T1,A3,0.0062862960303262,0.0578373699412615,0.0102616618175359,0.0044451047771692,0.3928242775734281,3.9564565144077015,2.0263324440039168,1.9879013501905929,b,rmse,,,,,,,,,,,,,,,,,,,,
540.0,0.125,0.25,10.0,20.0,10/20,3,0.15,True,0.0,10.0,AP,T1,A3,0.006412296682367,0.0589856765614953,0.0077841881397987,0.004534201138144,0.1266045228459219,1.4966001461178116,2.031684636434953,2.0277462549021084,b,rmse,,,,,,,,,,,,,,,,,,,,
756.0,0.25,0.25,20.0,20.0,20/20,3,0.15,True,0.0,10.0,AP,T1,A3,0.0067251556265476,0.0613674633262607,0.0079114958594339,0.0047554269252607,-0.145825227154324,-1.078066821666379,2.131664042311756,2.1266809398987165,b,rmse,,,,,,,,,,,,,,,,,,,,
108.0,0.03,0.25,2.4,20.0,2.4/20,3,0.15,True,0.0,10.0,AP,T1,A4,0.0059347805069725,0.0556713843528304,0.0066919797016919,0.0041965445241091,0.4557504081050998,4.67013277122644,1.9312781206916976,1.876742381520212,b,rmse,,,,,,,,,,,,,,,,,,,,
324.0,0.06,0.25,4.8,20.0,4.8/20,3,0.15,True,0.0,10.0,AP,T1,A4,0.0059870408743502,0.0561218605812205,0.0070819020392456,0.0042334983690388,0.2796832928444759,3.082066962864117,1.9138058268152451,1.8932685607472828,b,rmse,,,,,,,,,,,,,,,,,,,,
540.0,0.125,0.25,10.0,20.0,10/20,3,0.15,True,0.0,10.0,AP,T1,A4,0.0061481102611537,0.0571258113110795,0.0067301975698178,0.0043473921941597,-0.0305572844668763,0.2446011122293171,1.944433574773021,1.9442031731098437,b,rmse,,,,,,,,,,,,,,,,,,,,
