p_beat_noise_centering,p_beat_cv,p_window,p_N_beats,value,mcse
median,0.3,0.25,13,2.0705794331279037,0.006960570800748756
mean,0.05,,1,1.9493257420596928,0.0054103221457271625
mean,0.05,,3,1.6970224390712483,0.0051156323374318665
mean,0.05,,5,1.6444751591529094,0.005125780485542651
mean,0.05,,7,1.6318694006541177,0.005334541919558425
mean,0.05,,10,1.6087123309875961,0.005191581003524091
mean,0.05,,13,1.6082750643100383,0.005474524030688709
mean,0.05,0.1,1,1.9438891055664587,0.005390945580693574
mean,0.05,0.1,3,1.7259754014787316,0.004943941302231774
mean,0.05,0.1,5,1.6673142564067858,0.00510502951338908
mean,0.05,0.1,7,1.6397602012015469,0.0051952793435859216
mean,0.05,0.1,10,1.6164958158102174,0.005185353138555892
mean,0.05,0.1,13,1.6132405886995957,0.005562001508228181
mean,0.05,0.15,1,1.9509051586008932,0.005563145440230302
mean,0.05,0.15,3,1.7196775308189833,0.005268115119923444
mean,0.05,0.15,5,1.6566910018454784,0.005418439128550435
mean,0.05,0.15,7,1.6270248503395677,0.0051056780119044945
mean,0.05,0.15,10,1.6101825633692637,0.005247821627769357
mean,0.05,0.15,13,1.6010332924739892,0.005076590590703698
mean,0.05,0.2,1,1.943648221694837,0.005572095529032101
mean,0.05,0.2,3,1.7065805919149273,0.005178098186603565
mean,0.05,0.2,5,1.6439394891297252,0.0051886425104162625
mean,0.05,0.2,7,1.638180538771809,0.005572286243404107
mean,0.05,0.2,10,1.599312708703735,0.005016881196348477
mean,0.05,0.2,13,1.5903971996192479,0.005155408452679413
mean,0.05,0.25,1,1.9421418424462376,0.005657788035601427
mean,0.05,0.25,3,1.6980122984862187,0.004992107553457094
mean,0.05,0.25,5,1.6459653556407488,0.005414172198303628
mean,0.05,0.25,7,1.615573667306925,0.005141050865626194
mean,0.05,0.25,10,1.607266711302741,0.005013646094881196
mean,0.05,0.25,13,1.5885180221666664,0.00501777657752962
mean,0.1,,1,2.1752194494077544,0.006339355353540007
mean,0.1,,3,1.797451515888386,0.005839911146177978
mean,0.1,,5,1.7020558725225385,0.005083881279867368
mean,0.1,,7,1.6732754620302457,0.005528254425848859
mean,0.1,,10,1.6368520677101976,0.00519225614491689
mean,0.1,,13,1.6219959825023094,0.005382825546221298
mean,0.1,0.1,1,2.181329104039868,0.0062433642435792405
mean,0.1,0.1,3,1.8634780982850476,0.005692918977700803
mean,0.1,0.1,5,1.7665453624864524,0.005714975151444264
mean,0.1,0.1,7,1.7051414010121557,0.005147401651119066
mean,0.1,0.1,10,1.6820015475980874,0.005216475257437897
mean,0.1,0.1,13,1.650053173686602,0.005119026658771026
mean,0.1,0.15,1,2.16375535252059,0.0061871711642165865
mean,0.1,0.15,3,1.8336796784603788,0.005519590643120529
mean,0.1,0.15,5,1.7321258524348073,0.0052982597383517014
mean,0.1,0.15,7,1.7015208500873629,0.0054829235421865186
mean,0.1,0.15,10,1.6717715857213529,0.005881584769984391
mean,0.1,0.15,13,1.6422730850619465,0.005551542432585702
mean,0.1,0.2,1,2.187439536279895,0.006862710798924844
mean,0.1,0.2,3,1.8209995956547609,0.005854290743655055
mean,0.1,0.2,5,1.7353502588165446,0.005484846715145952
mean,0.1,0.2,7,1.686332941748209,0.005361715296904615
mean,0.1,0.2,10,1.657802411277948,0.005267213214915617
mean,0.1,0.2,13,1.6231368865348055,0.005236480374931622
mean,0.1,0.25,1,2.1788916463515937,0.006226362242894059
mean,0.1,0.25,3,1.8039697283587257,0.005701341182806829
mean,0.1,0.25,5,1.719597092978688,0.0054972444125491945
mean,0.1,0.25,7,1.6779977874304715,0.005147982261196359
mean,0.1,0.25,10,1.6426572648833002,0.005227363825801315
mean,0.1,0.25,13,1.6086973431571796,0.004914245313365101
mean,0.15,,1,2.498298193732449,0.007606725601685443
mean,0.15,,3,1.9360127822228372,0.006312694966294344
mean,0.15,,5,1.7969193233142513,0.005935019912989448
mean,0.15,,7,1.7319034440076368,0.005343099729300969
mean,0.15,,10,1.6931221255808644,0.005366538081117783
mean,0.15,,13,1.6574575187099063,0.005346859313545095
mean,0.15,0.1,1,2.522928389589714,0.007674674028945066
mean,0.15,0.1,3,2.052674196949976,0.007007521844891348
mean,0.15,0.1,5,1.9092611212192037,0.00605643884451025
mean,0.15,0.1,7,1.846750459915776,0.005709433799749012
mean,0.15,0.1,10,1.7852632154437185,0.005836758353919518
mean,0.15,0.1,13,1.7413888590185287,0.005583204087832548
mean,0.15,0.15,1,2.5189053878051095,0.007635587556237243
