u,view_errors,r_mean,beat_cv,N_beats,cell,axis,t_warn,t_adj,value,mcse,n
base,False,0.53,0.2,1,18,SL,2.0,4.0,0.31014,0.0014627138489807226,100000
base,False,0.53,0.2,1,18,AP,2.0,5.0,0.41447,0.0015578338136656299,100000
base,False,0.53,0.2,1,18,SL,2.0,5.0,0.33882,0.0014967331345300005,100000
base,False,0.53,0.2,1,18,AP,2.0,6.0,0.44811,0.00157260111884737,100000
base,False,0.53,0.2,1,18,SL,2.0,6.0,0.34841,0.0015067198541865703,100000
base,False,0.53,0.2,1,18,AP,3.0,4.0,0.16571,0.0011757984346817273,100000
base,False,0.53,0.2,1,18,SL,3.0,4.0,0.12256,0.0010370103490322552,100000
base,False,0.53,0.2,1,18,AP,3.0,5.0,0.25453,0.0013774776916523912,100000
base,False,0.53,0.2,1,18,SL,3.0,5.0,0.16791,0.0011820162092797206,100000
base,False,0.53,0.2,1,18,AP,3.0,6.0,0.30149,0.0014511849637451456,100000
base,False,0.53,0.2,1,18,SL,3.0,6.0,0.18314,0.001223109726884714,100000
base,False,0.53,0.2,1,18,AP,4.0,5.0,0.11292,0.0010008450109782233,100000
base,False,0.53,0.2,1,18,SL,4.0,5.0,0.06006,0.0007513507596322772,100000
base,False,0.53,0.2,1,18,AP,4.0,6.0,0.17409,0.0011990941243288618,100000
base,False,0.53,0.2,1,18,SL,4.0,6.0,0.08107,0.0008631202413337322,100000
base,False,0.53,0.2,3,19,AP,2.0,4.0,0.30933,0.0014616598479126393,100000
base,False,0.53,0.2,3,19,SL,2.0,4.0,0.18894,0.0012379082211537332,100000
base,False,0.53,0.2,3,19,AP,2.0,5.0,0.34225,0.001500383076084238,100000
