rhythm_state,p_beat_cv,p_N_beats,p_data_mode,axis,estimator,estimand,metric,W,v_win,se_win,v_none,se_none,diff,mcse_diff,lo95,hi95,ratio
AF_rr0.1,0.05,1,prospective,SL,A1,T1,bias_mm,0.1,-0.226268,0.00510636,-0.224137,0.00511293,-0.00213132,0.00722613,-0.0162945,0.0120319,1.00951
AF_rr0.1,0.05,1,prospective,SL,A1,T1,bias_mm,0.15,-0.223253,0.00508195,-0.224137,0.00511293,0.000884574,0.0072089,-0.0132449,0.015014,0.996053
AF_rr0.1,0.05,1,prospective,SL,A1,T1,bias_mm,0.2,-0.225135,0.00506807,-0.224137,0.00511293,-0.000998336,0.00719912,-0.0151086,0.0131119,1.00445
AF_rr0.1,0.05,1,prospective,SL,A1,T1,bias_mm,0.25,-0.223464,0.00509066,-0.224137,0.00511293,0.000673588,0.00721504,-0.0134679,0.0148151,0.996995
AF_rr0.1,0.05,1,prospective,SL,A1,T1,relbias_pct,0.1,-3.24578,0.0860832,-3.21021,0.0865144,-0.0355691,0.122045,-0.274778,0.20364,1.01108
AF_rr0.1,0.05,1,prospective,SL,A1,T1,relbias_pct,0.15,-3.21037,0.0860136,-3.21021,0.0865144,-0.000153932,0.121996,-0.239266,0.238959,1.00005
AF_rr0.1,0.05,1,prospective,SL,A1,T1,relbias_pct,0.2,-3.24508,0.0858013,-3.21021,0.0865144,-0.0348694,0.121847,-0.273689,0.20395,1.01086
AF_rr0.1,0.05,1,prospective,SL,A1,T1,relbias_pct,0.25,-3.24195,0.0861182,-3.21021,0.0865144,-0.0317392,0.12207,-0.270996,0.207518,1.00989
AF_rr0.1,0.05,1,prospective,SL,A1,T1,rmse_mm,0.1,1.63054,0.00439773,1.6323,0.00419013,-0.00176424,0.00607431,-0.0136699,0.0101414,0.998919
AF_rr0.1,0.05,1,prospective,SL,A1,T1,rmse_mm,0.15,1.62248,0.00496507,1.6323,0.00419013,-0.00982551,0.00649685,-0.0225593,0.00290832,0.993981
AF_rr0.1,0.05,1,prospective,SL,A1,T1,rmse_mm,0.2,1.61839,0.0041838,1.6323,0.00419013,-0.0139129,0.00592126,-0.0255186,-0.00230725,0.991477
