u,view_errors,r_mean,beat_cv,N_beats,cell,axis,tau,false_alarm,false_alarm_mcse,n_nonevent_pairs,miss,hit_mcse,n_event_pairs,prev_event,prev_event_mcse,n_pairs,hit,n_fired_pairs,n_fired_event,ppv,ppv_mcse,ppv_mcse_conservative,false_alarm_lo95,false_alarm_hi95,hit_lo95,hit_hi95,ppv_lo95,ppv_hi95,role
base,False,0.53,0.1,7,9,AP,5.0,0.00012,1.999879996399784e-05,300000,,,,0.0,0.0,300000,,36,0,0.0,0.0,0.0,8.080307202736295e-05,0.00015919692797263706,,,0.0,0.0,t_adj only
base,False,0.53,0.1,7,9,AP,6.0,1.6666666666666667e-05,7.453497811741118e-06,300000,,,,0.0,0.0,300000,,5,0,0.0,0.0,0.0,2.0580792815752992e-06,3.127525405175804e-05,,,0.0,0.0,t_adj only
base,False,0.53,0.1,7,9,SL,2.0,0.00825,0.00016514576894368198,300000,,,,0.0,0.0,300000,,2475,0,0.0,0.0,0.0,0.007926320238118066,0.008573679761881935,,,0.0,0.0,t_warn only
base,False,0.53,0.1,7,9,SL,3.0,0.00028333333333333335,3.072746087544254e-05,300000,,,,0.0,0.0,300000,,85,0,0.0,0.0,0.0,0.0002231086162060575,0.0003435580504606092,,,0.0,0.0,t_warn only
base,False,0.53,0.1,7,9,SL,4.0,1.3333333333333333e-05,6.666622222074073e-06,300000,,,,0.0,0.0,300000,,4,0,0.0,0.0,0.0,2.669937764681437e-07,2.6399672890198523e-05,,,0.0,0.0,t_warn and t_adj
base,False,0.53,0.1,7,9,SL,5.0,0.0,0.0,300000,,,,0.0,0.0,300000,,0,0,,,,0.0,0.0,,,,,t_adj only
base,False,0.53,0.1,7,9,SL,6.0,0.0,0.0,300000,,,,0.0,0.0,300000,,0,0,,,,0.0,0.0,,,,,t_adj only
base,False,0.53,0.1,10,10,AP,2.0,0.014723333333333333,0.00021989813390817188,300000,,,,0.0,0.0,300000,,4417,0,0.0,0.0,0.0,0.014292340907206137,0.015154325759460529,,,0.0,0.0,t_warn only
base,False,0.53,0.1,10,10,AP,3.0,0.00145,6.947175685125575e-05,300000,,,,0.0,0.0,300000,,435,0,0.0,0.0,0.0,0.0013138378575547852,0.0015861621424452146,,,0.0,0.0,t_warn only
base,False,0.53,0.1,10,10,AP,4.0,0.00018,2.4492692787850015e-05,300000,,,,0.0,0.0,300000,,54,0,0.0,0.0,0.0,0.00013199520387275433,0.0002280047961272457,,,0.0,0.0,t_warn and t_adj
base,False,0.53,0.1,10,10,AP,5.0,2.3333333333333332e-05,8.819068145953003e-06,300000,,,,0.0,0.0,300000,,7,0,0.0,0.0,0.0,6.048277253718699e-06,4.061838941294797e-05,,,0.0,0.0,t_adj only
base,False,0.53,0.1,10,10,AP,6.0,1.3333333333333333e-05,6.666622222074073e-06,300000,,,,0.0,0.0,300000,,4,0,0.0,0.0,0.0,2.669937764681437e-07,2.6399672890198523e-05,,,0.0,0.0,t_adj only
base,False,0.53,0.1,10,10,SL,2.0,0.00317,0.00010263123468678204,300000,,,,0.0,0.0,300000,,951,0,0.0,0.0,0.0,0.002968846474738356,0.003371153525261644,,,0.0,0.0,t_warn only
base,False,0.53,0.1,10,10,SL,3.0,9e-05,1.7319728635287564e-05,300000,,,,0.0,0.0,300000,,27,0,0.0,0.0,0.0,5.605395538506725e-05,0.00012394604461493276,,,0.0,0.0,t_warn only
base,False,0.53,0.1,10,10,SL,4.0,3.3333333333333333e-06,3.333327777773148e-06,300000,,,,0.0,0.0,300000,,1,0,0.0,0.0,0.0,-3.1998691113020375e-06,9.866535777968703e-06,,,0.0,0.0,t_warn and t_adj
base,False,0.53,0.1,10,10,SL,5.0,0.0,0.0,300000,,,,0.0,0.0,300000,,0,0,,,,0.0,0.0,,,,,t_adj only
base,False,0.53,0.1,10,10,SL,6.0,0.0,0.0,300000,,,,0.0,0.0,300000,,0,0,,,,0.0,0.0,,,,,t_adj only
base,False,0.53,0.1,13,11,AP,2.0,0.00805,0.00016314816885273337,300000,,,,0.0,0.0,300000,,2415,0,0.0,0.0,0.0,0.007730235462382721,0.008369764537617279,,,0.0,0.0,t_warn only
base,False,0.53,0.1,13,11,AP,3.0,0.0007033333333333334,4.840243298139587e-05,300000,,,,0.0,0.0,300000,,211,0,0.0,0.0,0.0,0.0006084663071773848,0.000798200359489282,,,0.0,0.0,t_warn only
base,False,0.53,0.1,13,11,AP,4.0,9.666666666666667e-05,1.7949681726261167e-05,300000,,,,0.0,0.0,300000,,29,0,0.0,0.0,0.0,6.148593667173693e-05,0.0001318473966615964,,,0.0,0.0,t_warn and t_adj
base,False,0.53,0.1,13,11,AP,5.0,1e-05,5.77347382431063e-06,300000,,,,0.0,0.0,300000,,3,0,0.0,0.0,0.0,-1.3158008505911584e-06,2.131580085059116e-05,,,0.0,0.0,t_adj only
base,False,0.53,0.1,13,11,AP,6.0,0.0,0.0,300000,,,,0.0,0.0,300000,,0,0,,,,0.0,0.0,,,,,t_adj only
base,False,0.53,0.1,13,11,SL,2.0,0.0012833333333333334,6.536274139724376e-05,300000,,,,0.0,0.0,300000,,385,0,0.0,0.0,0.0,0.001155224713253426,0.0014114419534132408,,,0.0,0.0,t_warn only
base,False,0.53,0.1,13,11,SL,3.0,2.3333333333333332e-05,8.819068145953003e-06,300000,,,,0.0,0.0,300000,,7,0,0.0,0.0,0.0,6.048277253718699e-06,4.061838941294797e-05,,,0.0,0.0,t_warn only
base,False,0.53,0.1,13,11,SL,4.0,0.0,0.0,300000,,,,0.0,0.0,300000,,0,0,,,,0.0,0.0,,,,,t_warn and t_adj
base,False,0.53,0.1,13,11,SL,5.0,0.0,0.0,300000,,,,0.0,0.0,300000,,0,0,,,,0.0,0.0,,,,,t_adj only
base,False,0.53,0.1,13,11,SL,6.0,0.0,0.0,300000,,,,0.0,0.0,300000,,0,0,,,,0.0,0.0,,,,,t_adj only
base,False,0.53,0.15,1,12,AP,2.0,0.22025333333333333,0.0007566192404128796,300000,,,,0.0,0.0,300000,,66076,0,0.0,0.0,0.0,0.21877038686041675,0.2217362798062499,,,0.0,0.0,t_warn only
base,False,0.53,0.15,1,12,AP,3.0,0.1304,0.0006148057687866415,300000,,,,0.0,0.0,300000,,39120,0,0.0,0.0,0.0,0.12919500282618585,0.13160499717381413,,,0.0,0.0,t_warn only
base,False,0.53,0.15,1,12,AP,4.0,0.07341666666666667,0.00047618854711910854,300000,,,,0.0,0.0,300000,,22025,0,0.0,0.0,0.0,0.07248335425710091,0.07434997907623243,,,0.0,0.0,t_warn and t_adj
base,False,0.53,0.15,1,12,AP,5.0,0.040786666666666666,0.000361123776051411,300000,,,,0.0,0.0,300000,,12236,0,0.0,0.0,0.0,0.040078877066061835,0.041494456267271496,,,0.0,0.0,t_adj only
base,False,0.53,0.15,1,12,AP,6.0,0.022853333333333333,0.0002728311962177889,300000,,,,0.0,0.0,300000,,6856,0,0.0,0.0,0.0,0.022318594010669532,0.023388072655997134,,,0.0,0.0,t_adj only
base,False,0.53,0.15,1,12,SL,2.0,0.14382333333333333,0.000640671996480316,300000,,,,0.0,0.0,300000,,43147,0,0.0,0.0,0.0,0.14256763928442379,0.14507902738224288,,,0.0,0.0,t_warn only
