u,view_over,K,beat_cv,rho,N_beats,estimator,axis,estimand,bias_mcse,relbias_pct_mcse,rmse_mcse,sd_err_mcse,bias,relbias_pct,rmse,sd_err,bias_lo95,bias_hi95,rmse_lo95,rmse_hi95
base,True,3,0.15,0.3,3,A6,SL,T2,0.005631080994468544,0.09473500220492159,0.005257378297581884,0.003981795465626496,0.13074219972946308,2.0195327084244763,1.7854884850772401,1.780704163140662,0.11970548369922053,0.14177891575970564,1.7751842128795983,1.795792757274882
base,True,3,0.15,0.3,3,A7,AP,T1,0.005408978958598187,0.05273193680039753,0.005171763382246445,0.0038247448246920617,0.2669869540749441,2.8258541898687044,1.73117246802525,1.7104693325095874,0.25638555003933416,0.27758835811055405,1.7210359979795287,1.7413089380709714
base,True,3,0.15,0.3,3,A7,AP,T2,0.005835981041782704,0.0580793542829002,0.006287114810144878,0.004126682402984281,0.6928194582633599,7.362579826647192,1.9712514337542861,1.845499247359563,0.6813811455167833,0.7042577710099365,1.9589289150625353,1.983573952446037
base,True,3,0.15,0.3,3,A7,SL,T1,0.004247134963914662,0.07083421964588735,0.003987699552123735,0.003003192949600829,0.2713534116283066,4.865978456298892,1.3701934812345151,1.3430620016107373,0.2630291799958926,0.27967764326072064,1.3623777336695364,1.3780092287994938
base,True,3,0.15,0.3,3,A7,SL,T2,0.0044710848983426634,0.07655349265162227,0.004505787934636456,0.0031615502586696763,0.5454812012799977,9.48926860851344,1.5154503512713584,1.4138811890745215,0.5367180358383024,0.554244366721693,1.5066191691278366,1.5242815334148803
low,True,3,0.15,0.3,3,A1,AP,T1,0.00640802871727606,0.05998523865171844,0.00714463746189871,0.004531183215996756,0.05188292402944688,0.7480809313823077,2.0270505615591516,2.026396605835952,0.03932341843261962,0.06444242962627414,2.013047329340779,2.0410537937775244
low,True,3,0.15,0.3,3,A1,AP,T2,0.006173350987537923,0.05916010609434395,0.006162209931542543,0.004365240172188162,0.21899481398333737,2.334889712040102,1.9644202350369755,1.9521849916269578,0.20689526828839858,0.23109435967827616,1.9523425254107096,1.9764979446632414
low,True,3,0.15,0.3,3,A1,SL,T1,0.004771854211416677,0.07553810531519993,0.004455165040080827,0.0033742273429052108,0.09991822612164639,2.140782652939931,1.5122897020148587,1.508992797034336,0.09056556365402131,0.10927088858927146,1.5035577389222416,1.5210216651074757
low,True,3,0.15,0.3,3,A1,SL,T2,0.004630617098406486,0.07527604473512035,0.004081544418236151,0.0032743571231881466,0.20731790887288945,3.7446609690374437,1.4789255369795218,1.4643297003084554,0.19824206606222827,0.21639375168355063,1.470925856855378,1.4869252171036655
low,True,3,0.15,0.3,3,A2,AP,T1,0.00532581386607585,0.049584271901256825,0.005162366570037528,0.003765937929776301,-0.22463375067720695,-1.8025341883447021,1.6990765995853612,1.6841702210906653,-0.23507215412541643,-0.21419534722899747,1.6889585469532842,1.7091946522174382
