u,view_errors,r_mean,beat_cv,N_beats,cell,axis,metric,rule,tau,value,mcse,n,lo95,hi95
base,False,0.53,0.25,3,25,SL,p_any_trigger,any trigger (diff >= t_warn),4.0,0.04475,0.0006538152453101717,100000,0.043468545656540895,0.0460314543434591
base,False,0.53,0.25,5,26,AP,p_any_trigger,any trigger (diff >= t_warn),2.0,0.37071,0.001527364055816425,100000,0.3677164214357058,0.37370357856429415
base,False,0.53,0.25,5,26,AP,p_any_trigger,any trigger (diff >= t_warn),3.0,0.22011,0.0013101968855862847,100000,0.21754206127133877,0.22267793872866123
base,False,0.53,0.25,5,26,AP,p_any_trigger,any trigger (diff >= t_warn),4.0,0.12512,0.0010462551581712752,100000,0.12306937755517,0.12717062244483002
base,False,0.53,0.25,5,26,SL,p_any_trigger,any trigger (diff >= t_warn),2.0,0.18594,0.001230310190155312,100000,0.18352863631846242,0.18835136368153757
base,False,0.53,0.25,5,26,SL,p_any_trigger,any trigger (diff >= t_warn),3.0,0.06559,0.0007828662203722932,100000,0.06405561039125424,0.06712438960874575
base,False,0.53,0.25,5,26,SL,p_any_trigger,any trigger (diff >= t_warn),4.0,0.02323,0.00047634406787531216,100000,0.022296382775350832,0.02416361722464917
base,False,0.53,0.25,7,27,AP,p_any_trigger,any trigger (diff >= t_warn),2.0,0.33384,0.0014912774872571503,100000,0.33091714981096554,0.3367628501890345
base,False,0.53,0.25,7,27,AP,p_any_trigger,any trigger (diff >= t_warn),3.0,0.18279,0.001222202175992172,100000,0.18039452773433368,0.18518547226566634
base,False,0.53,0.25,7,27,AP,p_any_trigger,any trigger (diff >= t_warn),4.0,0.09637,0.0009331817781118532,100000,0.09454099730944478,0.09819900269055522
base,False,0.53,0.25,7,27,SL,p_any_trigger,any trigger (diff >= t_warn),2.0,0.14706,0.0011199703406787164,100000,0.14486489845120198,0.149255101548798
base,False,0.53,0.25,7,27,SL,p_any_trigger,any trigger (diff >= t_warn),3.0,0.04506,0.0006559694840463236,100000,0.04377432342617064,0.04634567657382937
base,False,0.53,0.25,7,27,SL,p_any_trigger,any trigger (diff >= t_warn),4.0,0.0141,0.00037284299644756635,100000,0.013369241149310642,0.014830758850689357
base,False,0.53,0.25,10,28,AP,p_any_trigger,any trigger (diff >= t_warn),2.0,0.28821,0.001432288364471345,100000,0.2854027663680173,0.29101723363198273
base,False,0.53,0.25,10,28,AP,p_any_trigger,any trigger (diff >= t_warn),3.0,0.14463,0.0011122596958444552,100000,0.14245001103749394,0.14680998896250608
