cell,p_beat_cv,p_sigma_rb_mm,p_ai_draft_sigma_mm,sentinel_n,anchor_alpha,metric,value,mcse,n,test,lo95_mc,hi95_mc,nominal_outside_mc95
10,0.1,0.0,2.0,100,0.0,power_reject_welch_mean,0.0565,0.005162739098579358,2000,welch_mean,0.04638121722539201,0.06661878277460799,False
10,0.1,0.0,2.0,100,0.0,power_reject_f_variance,0.065,0.005512485827646181,2000,f_variance,0.05419572622730329,0.07580427377269672,True
10,0.1,0.0,2.0,100,0.0,power_reject_either_unadjusted,0.121,0.007292427579345577,2000,either_unadjusted,0.10670710447187552,0.13529289552812446,True
11,0.1,0.0,3.0,10,0.0,power_reject_welch_mean,0.048,0.0047799581588126895,2000,welch_mean,0.038631454087220844,0.05736854591277916,False
11,0.1,0.0,3.0,10,0.0,power_reject_f_variance,0.0515,0.004942051699446294,2000,f_variance,0.04181375658294644,0.06118624341705355,False
11,0.1,0.0,3.0,10,0.0,power_reject_either_unadjusted,0.0995,0.006693270874542581,2000,either_unadjusted,0.08638143004364802,0.11261856995635199,True
11,0.1,0.0,3.0,25,0.0,power_reject_welch_mean,0.0445,0.004610843198374892,2000,welch_mean,0.03546291332154035,0.05353708667845965,False
11,0.1,0.0,3.0,25,0.0,power_reject_f_variance,0.0525,0.004987171041783107,2000,f_variance,0.042725324296262614,0.06227467570373738,False
11,0.1,0.0,3.0,25,0.0,power_reject_either_unadjusted,0.096,0.006587260432076449,2000,either_unadjusted,0.08308920669450572,0.10891079330549429,True
11,0.1,0.0,3.0,50,0.0,power_reject_welch_mean,0.0475,0.004756245893559331,2000,welch_mean,0.03817792927347588,0.05682207072652412,False
11,0.1,0.0,3.0,50,0.0,power_reject_f_variance,0.0585,0.0052477495176503994,2000,f_variance,0.04821459986438786,0.06878540013561216,False
11,0.1,0.0,3.0,50,0.0,power_reject_either_unadjusted,0.105,0.006854742883580682,2000,either_unadjusted,0.09156495071892568,0.11843504928107432,True
11,0.1,0.0,3.0,100,0.0,power_reject_welch_mean,0.0515,0.004942051699446294,2000,welch_mean,0.04181375658294644,0.06118624341705355,False
11,0.1,0.0,3.0,100,0.0,power_reject_f_variance,0.0665,0.005571254347092763,2000,f_variance,0.055580542044854686,0.07741945795514532,True
11,0.1,0.0,3.0,100,0.0,power_reject_either_unadjusted,0.1145,0.007120033356663436,2000,either_unadjusted,0.1005449909421405,0.1284550090578595,True
12,0.1,0.75,1.0,10,0.0,power_reject_welch_mean,0.0535,0.005031786462082826,2000,welch_mean,0.043637879678630295,0.0633621203213697,False
