u,view_over,K,axis,beat_cv,bias,bias_adj,bias_adj_mcse,bias_mcse
base,False,2,SL,0.3,0.5394985538358151,0.09333216139213679,0.00803842242508551,0.005959994141800185
base,False,3,AP,0.05,-0.10778827949183667,-0.2483022593367568,0.007052386026402306,0.004945710292675865
base,False,3,SL,0.05,0.11804454018037462,-0.06358844082998567,0.00563268226891361,0.0038724090046854637
base,False,3,AP,0.1,0.05441888010300849,-0.14630336489770016,0.0073962962752587005,0.005289760955069732
base,False,3,SL,0.1,0.2176221529583395,-0.00622131208967025,0.005807759470124446,0.004062152637122124
base,False,3,AP,0.15,0.26958268046694783,-0.0017290236454439167,0.007993302612837634,0.005861183262629963
base,False,3,SL,0.15,0.3494033987460276,0.07140633426437526,0.006114818879520727,0.0043624622148384085
base,False,3,AP,0.2,0.5149638041870437,0.17443839723486398,0.008872550138347854,0.006673682216113945
base,False,3,SL,0.2,0.5056137738836335,0.16886102530528307,0.006520198660338354,0.004750100322955012
base,False,3,AP,0.25,0.7836108314249749,0.36427623697418215,0.0097385957267393,0.007496605142826423
base,False,3,SL,0.25,0.6758816788485831,0.2865017910916413,0.007058321238869767,0.005275535513811099
base,False,3,AP,0.3,1.0670608560646127,0.5741370189502755,0.010810678211064371,0.008472326422942574
base,False,3,SL,0.3,0.8562990621743729,0.40378493902810364,0.007639517034086933,0.005824508943542221
base,False,4,AP,0.05,-0.02685800608463086,-0.17168919202504185,0.007036513920824345,0.004883811800798641
base,False,4,SL,0.05,0.19697908080465812,0.008218273208043969,0.005632106964754968,0.0038196088691301506
base,False,4,AP,0.1,0.17329058863148916,-0.044616101111404405,0.007434182288322187,0.0052782122533705485
base,False,4,SL,0.1,0.31598622253013586,0.07549312629096444,0.005837302662120416,0.004010903142664065
base,False,4,AP,0.15,0.41152065374755376,0.1400025038019162,0.007938400708780144,0.0058210437903024
base,False,4,SL,0.15,0.45605612229837555,0.17656807765425003,0.006095801020412178,0.004301814220341961
base,False,4,AP,0.2,0.6972771424052341,0.36073419469636053,0.00861208487942234,0.0065194328099734316
base,False,4,SL,0.2,0.6415982139784652,0.29590615292204414,0.006421231680702364,0.004665586341764556
