rhythm_state,p_beat_cv,W,p_N_beats,p_data_mode,axis,value,mcse,n
AF_rr0.1,0.15,0,1,retrospective,AP,0,0,100000
AF_rr0.1,0.15,0,1,retrospective,SL,0,0,100000
AF_rr0.1,0.15,0,3,prospective,AP,0,0,100000
AF_rr0.1,0.15,0,3,prospective,SL,0,0,100000
AF_rr0.1,0.15,0,3,retrospective,AP,0.22472,0.00131993,100000
AF_rr0.1,0.15,0,3,retrospective,SL,0.22472,0.00131993,100000
AF_rr0.1,0.15,0,5,prospective,AP,0,0,100000
AF_rr0.1,0.15,0,5,prospective,SL,0,0,100000
AF_rr0.1,0.15,0,5,retrospective,AP,0.62004,0.0015349,100000
AF_rr0.1,0.15,0,5,retrospective,SL,0.62004,0.0015349,100000
AF_rr0.1,0.15,0,7,prospective,AP,0,0,100000
AF_rr0.1,0.15,0,7,prospective,SL,0,0,100000
AF_rr0.1,0.15,0,7,retrospective,AP,0.88762,0.000998753,100000
AF_rr0.1,0.15,0,7,retrospective,SL,0.88762,0.000998753,100000
AF_rr0.1,0.15,0,10,prospective,AP,0,0,100000
AF_rr0.1,0.15,0,10,prospective,SL,0,0,100000
AF_rr0.1,0.15,0,10,retrospective,AP,0.99102,0.000298318,100000
AF_rr0.1,0.15,0,10,retrospective,SL,0.99102,0.000298318,100000
AF_rr0.1,0.15,0,13,prospective,AP,0,0,100000
AF_rr0.1,0.15,0,13,prospective,SL,0,0,100000
AF_rr0.1,0.15,0,13,retrospective,AP,0.99975,4.99937e-05,100000
AF_rr0.1,0.15,0,13,retrospective,SL,0.99975,4.99937e-05,100000
AF_rr0.1,0.15,0.1,1,prospective,AP,0,0,100000
AF_rr0.1,0.15,0.1,1,prospective,SL,0,0,100000
AF_rr0.1,0.15,0.1,1,retrospective,AP,0,0,100000
AF_rr0.1,0.15,0.1,1,retrospective,SL,0,0,100000
AF_rr0.1,0.15,0.1,3,prospective,AP,0,0,100000
AF_rr0.1,0.15,0.1,3,prospective,SL,0,0,100000
AF_rr0.1,0.15,0.1,3,retrospective,AP,0.53838,0.00157647,100000
AF_rr0.1,0.15,0.1,3,retrospective,SL,0.60316,0.00154712,100000
AF_rr0.1,0.15,0.1,5,prospective,AP,5e-05,2.23601e-05,100000
AF_rr0.1,0.15,0.1,5,prospective,SL,0.00117,0.000108103,100000
AF_rr0.1,0.15,0.1,5,retrospective,AP,0.93574,0.00077544,100000
AF_rr0.1,0.15,0.1,5,retrospective,SL,0.95575,0.000650323,100000
AF_rr0.1,0.15,0.1,7,prospective,AP,0.00091,9.53505e-05,100000
AF_rr0.1,0.15,0.1,7,prospective,SL,0.01375,0.000368252,100000
AF_rr0.1,0.15,0.1,7,retrospective,AP,0.99609,0.00019735,100000
AF_rr0.1,0.15,0.1,7,retrospective,SL,0.99763,0.000153766,100000
AF_rr0.1,0.15,0.1,10,prospective,AP,0.03149,0.000552253,100000
AF_rr0.1,0.15,0.1,10,prospective,SL,0.14854,0.00112461,100000
AF_rr0.1,0.15,0.1,10,retrospective,AP,0.99997,1.73202e-05,100000
AF_rr0.1,0.15,0.1,10,retrospective,SL,0.99999,9.99995e-06,100000
AF_rr0.1,0.15,0.1,13,prospective,AP,0.2806,0.00142079,100000
AF_rr0.1,0.15,0.1,13,prospective,SL,0.51947,0.00157994,100000
AF_rr0.1,0.15,0.1,13,retrospective,AP,1,0,100000
AF_rr0.1,0.15,0.1,13,retrospective,SL,1,0,100000
AF_rr0.1,0.15,0.15,1,prospective,AP,0,0,100000
AF_rr0.1,0.15,0.15,1,prospective,SL,0,0,100000
AF_rr0.1,0.15,0.15,1,retrospective,AP,0,0,100000
AF_rr0.1,0.15,0.15,1,retrospective,SL,0,0,100000
AF_rr0.1,0.15,0.15,3,prospective,AP,0,0,100000
AF_rr0.1,0.15,0.15,3,prospective,SL,0,0,100000
AF_rr0.1,0.15,0.15,3,retrospective,AP,0.41193,0.00155642,100000
AF_rr0.1,0.15,0.15,3,retrospective,SL,0.47301,0.00157883,100000
AF_rr0.1,0.15,0.15,5,prospective,AP,0,0,100000
AF_rr0.1,0.15,0.15,5,prospective,SL,0.00018,4.24226e-05,100000
AF_rr0.1,0.15,0.15,5,retrospective,AP,0.85664,0.00110819,100000
AF_rr0.1,0.15,0.15,5,retrospective,SL,0.89466,0.000970791,100000
AF_rr0.1,0.15,0.15,7,prospective,AP,6e-05,2.44942e-05,100000
AF_rr0.1,0.15,0.15,7,prospective,SL,0.00288,0.000169461,100000
AF_rr0.1,0.15,0.15,7,retrospective,AP,0.98212,0.00041905,100000
AF_rr0.1,0.15,0.15,7,retrospective,SL,0.98888,0.000331607,100000
AF_rr0.1,0.15,0.15,10,prospective,AP,0.00272,0.0001647,100000
AF_rr0.1,0.15,0.15,10,prospective,SL,0.02871,0.000528069,100000
AF_rr0.1,0.15,0.15,10,retrospective,AP,0.99961,6.24378e-05,100000
AF_rr0.1,0.15,0.15,10,retrospective,SL,0.99977,4.79528e-05,100000
AF_rr0.1,0.15,0.15,13,prospective,AP,0.02828,0.000524216,100000
AF_rr0.1,0.15,0.15,13,prospective,SL,0.14274,0.00110619,100000
AF_rr0.1,0.15,0.15,13,retrospective,AP,1,0,100000
AF_rr0.1,0.15,0.15,13,retrospective,SL,1,0,100000
AF_rr0.1,0.15,0.2,1,prospective,AP,0,0,100000
AF_rr0.1,0.15,0.2,1,prospective,SL,0,0,100000
AF_rr0.1,0.15,0.2,1,retrospective,AP,0,0,100000
AF_rr0.1,0.15,0.2,1,retrospective,SL,0,0,100000
AF_rr0.1,0.15,0.2,3,prospective,AP,0,0,100000
AF_rr0.1,0.15,0.2,3,prospective,SL,0,0,100000
AF_rr0.1,0.15,0.2,3,retrospective,AP,0.33779,0.00149562,100000
AF_rr0.1,0.15,0.2,3,retrospective,SL,0.3943,0.0015454,100000
AF_rr0.1,0.15,0.2,5,prospective,AP,1e-05,9.99995e-06,100000
AF_rr0.1,0.15,0.2,5,prospective,SL,5e-05,2.23601e-05,100000
AF_rr0.1,0.15,0.2,5,retrospective,AP,0.78395,0.00130143,100000
AF_rr0.1,0.15,0.2,5,retrospective,SL,0.83198,0.00118233,100000
