u,view_over,rho,N_beats,estimator,axis,estimand,bias_mcse,relbias_pct_mcse,rmse_mcse,sd_err_mcse,bias,relbias_pct,rmse,sd_err
base,False,0.0,10,A3,SL,T1,0.003836509951662703,0.0635478793707374,0.0032660586902229583,0.0027128357671231174,0.17219090810828863,3.7588208317547536,1.2253635586825828,1.2132109713156636
base,False,0.0,10,A3,SL,T2,0.0038011731290206827,0.06687961745772825,0.0035190116346653505,0.0026878487352718873,0.5041574860652711,9.064662426895731,1.3034769033310052,1.2020364868334443
base,False,0.0,10,A4,AP,T1,0.005088570851484792,0.04834160545213143,0.004831031610029972,0.0035981809465828116,0.031163752761417716,0.9235066308762196,1.6094410883878076,1.6091473925834348
base,False,0.0,10,A4,AP,T2,0.005040886362005628,0.05076956140441452,0.005197361794154044,0.0035644627521232825,0.5471823063726529,6.055010938261296,1.6853594860852137,1.5940682330017855
base,False,0.0,10,A4,SL,T1,0.00383625736239291,0.06354941040361342,0.0032660202883789007,0.0027126571586445474,0.17155465193617642,3.754393958036071,1.2251952239466872,1.213131095575157
base,False,0.0,10,A4,SL,T2,0.003799509481894243,0.06687868444894639,0.0035137442099357724,0.002686672353225355,0.5035212298931588,9.059854163300411,1.3027457246067795,1.20151039541921
base,False,0.0,10,A5,AP,T1,0.005697242619444292,0.0501423978521116,0.006791006753493904,0.004028579033219592,-1.2450930491727836,-11.151082249258677,2.189995796572715,1.8016263060027866
base,False,0.0,10,A5,AP,T2,0.005575234252428268,0.053215501123087545,0.006272513147855226,0.003942305658173111,-0.7290744955615484,-6.600086621597705,1.9078370564034801,1.7630438726659468
base,False,0.0,10,A5,SL,T1,0.004167418719199955,0.06327524235200926,0.004587369652541001,0.002946824770550733,-0.7161835757902383,-9.702239181443218,1.499879803506511,1.3178535116293537
base,False,0.0,10,A5,SL,T2,0.004078471965933169,0.06695588610546911,0.004181032098092234,0.0028839296036746414,-0.38421699783325586,-5.055612817436686,1.3457337868912636,1.2897260785493472
base,False,0.0,10,A6,AP,T1,0.007651662565088066,0.0723617863987742,0.007236973438022308,0.005410569540040357,-0.34390359866534426,-3.160267012472351,2.4439732278058965,2.419668159272467
base,False,0.0,10,A6,AP,T2,0.0075242061763836215,0.07508252962262697,0.00757853650380003,0.0053204438126521324,0.17211495494589096,1.695953195440258,2.3855680251274296,2.379362910207887
base,False,0.0,10,A6,SL,T1,0.005743174212949105,0.0930205964418785,0.004900548304569841,0.004061057736851473,-0.22273552213833897,-3.1649931196090657,1.8297494726876014,1.816151151206407
base,False,0.0,10,A6,SL,T2,0.005669116060544699,0.09709130825478841,0.005019178658424021,0.004008690453247098,0.10923105581864344,1.7149990474159775,1.7960475983311055,1.792731907116227
base,False,0.0,10,A7,AP,T1,0.005007140734024452,0.04950325157633477,0.0046509302076591826,0.0035406008704326874,0.26265929998711673,2.9092379424438333,1.605026688078452,1.5833969284524627
base,False,0.0,10,A7,AP,T2,0.005229183688385409,0.053998314236859225,0.0054292942728708105,0.0036976097342222964,0.778677853598352,8.235025898952333,1.8277713369046173,1.6536130758698067
base,False,0.0,10,A7,SL,T1,0.003994465287509873,0.06877363590223026,0.003421962723727674,0.0028245276146858836,0.2741591202274638,4.8099965387180985,1.2925643352510918,1.2631608343010534
base,False,0.0,10,A7,SL,T2,0.004111334465475895,0.07385227577903544,0.003874101113120401,0.002907167016135396,0.6061256981844463,10.261410940100196,1.4344610721903512,1.300118113365473
base,False,0.0,13,A1,AP,T1,0.005133621888518718,0.048170035812600154,0.00497543984327299,0.003630036999649651,-0.3200182000840318,-2.6253031455607108,1.6546276510862434,1.6233937813814152
base,False,0.0,13,A1,AP,T2,0.0048999830617004305,0.04920031456859906,0.00481452795767574,0.0034648285748137804,0.19988939113105572,2.2809972204988433,1.562342843087858,1.549510697121873
base,False,0.0,13,A1,SL,T1,0.0038893676252650024,0.06261838239823025,0.003279222332310382,0.0027502119734465476,-0.12806444745137932,-1.3974658405287677,1.2365692168117624,1.229926035355766
base,False,0.0,13,A1,SL,T2,0.0037635037794487075,0.0647260626880269,0.003197219507597576,0.0026612123495643953,0.20412505917140727,3.560686643314184,1.2074969754055302,1.1901243925709912
base,False,0.0,13,A2,AP,T1,0.005384541914668971,0.0466098987847037,0.006248349218761552,0.0038074651388189137,-1.4124449818413942,-12.720437711519567,2.2123067139345767,1.702741660699796
base,False,0.0,13,A2,AP,T2,0.005207605940823844,0.04946252385841797,0.005574788313292154,0.0036823518863093522,-0.8925373906263069,-8.23756551518594,1.873102196356825,1.6467895929627379
base,False,0.0,13,A2,SL,T1,0.003993232382162434,0.06043417499715551,0.004231317817774359,0.002823655814595137,-0.8401385431676361,-11.750931189234255,1.5167093695253704,1.2627709553973225
base,False,0.0,13,A2,SL,T2,0.0038897825264021034,0.06395758292368796,0.0037755051600851944,0.002750505354321021,-0.5079490365448497,-7.224625839551364,1.3308034804542148,1.2300572386154691
base,False,0.0,13,A3,AP,T1,0.00500809439147095,0.047420037832154704,0.004840213180112721,0.0035412752114517485,-0.010103185621819603,0.39448358546335166,1.5837228093130924,1.5836985014163139
