name,table,selector,value,mcse,lo95,hi95
A1 relbias_pct vs T1 AF_rr0.2 N5 W0.15,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=5; W=0.15; estimator=A1; subset=all; estimand=T1; metric=relbias_pct,-1.37686,0.056998,-1.48858,-1.26515
A6 rmse_mm vs T1 AF_rr0.2 N5 W0.15,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=5; W=0.15; estimator=A6; subset=all; estimand=T1; metric=rmse_mm,2.56986,0.00886813,2.55248,2.58725
window effect (W0.15 - none) A1 rmse_mm vs T1 AF_rr0.2 N5,results/2026-09-18_full/analysis/E2_window_effect.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=5; W=0.15; estimator=A1; estimand=T1; metric=rmse_mm,0.123271,0.00885562,0.105914,0.140628
window effect (W0.15 - none) A1 bias_mm vs T1 AF_rr0.2 N5,results/2026-09-18_full/analysis/E2_window_effect.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=5; W=0.15; estimator=A1; estimand=T1; metric=bias_mm,0.0483681,0.00835865,0.0319852,0.0647511
window effect (W0.15 - none) A1 relbias_pct vs T1 AF_rr0.2 N5,results/2026-09-18_full/analysis/E2_window_effect.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=5; W=0.15; estimator=A1; estimand=T1; metric=relbias_pct,0.783166,0.0779772,0.63033,0.936001
A1 rmse_mm vs Tv AF_rr0.2 N5 W0.0,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=5; W=0.0; estimator=A1; subset=all; estimand=Tv; metric=rmse_mm,1.22344,0.00324915,1.21707,1.2298
A1 bias_mm vs Tv AF_rr0.2 N5 W0.0,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=5; W=0.0; estimator=A1; subset=all; estimand=Tv; metric=bias_mm,0.142506,0.00384253,0.134975,0.150038
A1 relbias_pct vs Tv AF_rr0.2 N5 W0.0,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=5; W=0.0; estimator=A1; subset=all; estimand=Tv; metric=relbias_pct,1.37862,0.0412976,1.29768,1.45956
A6 rmse_mm vs Tv AF_rr0.2 N5 W0.0,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=5; W=0.0; estimator=A6; subset=all; estimand=Tv; metric=rmse_mm,2.23616,0.00720458,2.22204,2.25028
A1 rmse_mm vs Tv AF_rr0.2 N5 W0.15,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=5; W=0.15; estimator=A1; subset=all; estimand=Tv; metric=rmse_mm,1.41981,0.00382933,1.4123,1.42732
