p_beat_cv,p_view_over,ai,ref,m,apparent,true,diff,mcse_diff
0.1,False,independent,adj_tol1,loa_width,9.884586143192312,7.829263391367293,2.0553227518250177,0.020484121540639673
0.1,False,independent,adj_tol1,mae,2.018582699078729,1.5941852113475536,0.42439748773117525,0.002359479326960088
0.1,False,independent,adj_tol2,icc,0.8585662086093878,0.908603093424638,-0.050036884815250225,0.0003113485083951666
0.1,False,independent,adj_tol2,loa_width,9.764707816817946,7.829263391367293,1.9354444254506533,0.020092775754985533
0.1,False,independent,adj_tol2,mae,1.993477923462995,1.5941852113475536,0.3992927121154412,0.0022361281993893527
0.1,False,independent,adj_tol3,icc,0.8597787116060738,0.908603093424638,-0.048824381818564175,0.0003012780819110776
0.1,False,independent,adj_tol3,loa_width,9.717165707484611,7.829263391367293,1.8879023161173158,0.019729709739721477
0.1,False,independent,adj_tol3,mae,1.9837048894454576,1.5941852113475536,0.38951967809790417,0.002181946116770401
0.1,False,independent,mean2,icc,0.8602410632030946,0.908603093424638,-0.04836203022154356,0.00029873638344008656
0.1,False,independent,mean2,loa_width,9.695207634595002,7.829263391367293,1.8659442432277098,0.019636436393290796
0.1,False,independent,mean2,mae,1.9794755013399268,1.5941852113475536,0.3852902899923732,0.0021475184712421787
0.1,False,independent,single,icc,0.850666094735149,0.908603093424638,-0.05793699868948907,0.0003578624340027352
0.1,False,independent,single,loa_width,10.084102359055008,7.829263391367293,2.2548389676877143,0.02069397659391759
0.1,False,independent,single,mae,2.0598739878629355,1.5941852113475536,0.4656887765153816,0.0025363986116222516
0.1,False,inherited,adj_tol1,icc,0.8511457832747679,0.904632082871896,-0.05348629959712826,0.0003313858955706018
0.1,False,inherited,adj_tol1,loa_width,9.869066097381808,7.858168944510688,2.0108971528711193,0.02055361298123294
0.1,False,inherited,adj_tol1,mae,2.01470549767658,1.6004531404917688,0.41425235718481124,0.0023604591473395634
0.1,False,inherited,adj_tol2,icc,0.8541807114251017,0.904632082871896,-0.05045137144679434,0.00031423930732000485
0.1,False,inherited,adj_tol2,loa_width,9.749103933398395,7.858168944510688,1.8909349888877056,0.02015187791264081
0.1,False,inherited,adj_tol2,mae,1.9894987794103718,1.6004531404917688,0.3890456389186029,0.0022374614055845556
0.1,False,inherited,adj_tol3,icc,0.8554363485925971,0.904632082871896,-0.04919573427929885,0.0003039151256607987
0.1,False,inherited,adj_tol3,loa_width,9.70117132681623,7.858168944510688,1.843002382305542,0.01978722412725213
0.1,False,inherited,adj_tol3,mae,1.9795893316293531,1.6004531404917688,0.3791361911375841,0.0021890406905906027
0.1,False,inherited,mean2,icc,0.8559279127208521,0.904632082871896,-0.048704170151043946,0.0003011770502366155
0.1,False,inherited,mean2,loa_width,9.678465556642124,7.858168944510688,1.8202966121314335,0.019691137158016042
0.1,False,inherited,mean2,mae,1.9752551141177355,1.6004531404917688,0.3748019736259664,0.0021527747192986745
0.1,False,inherited,single,icc,0.8460781930976115,0.904632082871896,-0.058553889774284565,0.0003609813831995424
0.1,False,inherited,single,loa_width,10.068194775921512,7.858168944510688,2.2100258314108236,0.020747374572660557
0.1,False,inherited,single,mae,2.055920598683017,1.6004531404917688,0.45546745819124806,0.002534517788403002
0.1,True,independent,adj_tol1,icc,0.8474227562498616,0.9088718961936321,-0.06144913994377033,0.00036281747068554694
0.1,True,independent,adj_tol1,loa_width,10.217682795231806,7.8218032540716536,2.395879541160151,0.021428505420486882
0.1,True,independent,adj_tol1,mae,2.085258391582679,1.5932196679775235,0.4920387236051558,0.0025895719757692164
0.1,True,independent,adj_tol2,icc,0.8508334485736762,0.9088718961936321,-0.05803844761995591,0.0003395916312511157
0.1,True,independent,adj_tol2,loa_width,10.080533400677458,7.8218032540716536,2.2587301466058034,0.02088194206895532
0.1,True,independent,adj_tol2,mae,2.05692867519432,1.5932196679775235,0.4637090072167971,0.0024559034956108646
