u,view_errors,r_mean,beat_cv,N_beats,cell,axis,metric,rule,tau,value,mcse,n,lo95,hi95
base,True,0.64,0.25,3,205,AP,p_any_adj,any adjudication (diff >= t_adj),6.0,0.04195,0.0006339573921013936,100000,0.04070746633394739,0.043192533666052614
base,True,0.64,0.25,3,205,SL,p_any_adj,any adjudication (diff >= t_adj),4.0,0.04472,0.0006536063157589591,100000,0.04343895515093981,0.046001044849060195
base,True,0.64,0.25,3,205,SL,p_any_adj,any adjudication (diff >= t_adj),5.0,0.02225,0.0004664218852069444,100000,0.021335829896182254,0.023164170103817744
base,True,0.64,0.25,3,205,SL,p_any_adj,any adjudication (diff >= t_adj),6.0,0.01132,0.0003345423381277772,100000,0.01066430906079373,0.01197569093920627
base,True,0.64,0.3,3,211,AP,p_any_adj,any adjudication (diff >= t_adj),4.0,0.14811,0.001123269459657833,100000,0.1459084322967712,0.1503115677032288
base,True,0.64,0.3,3,211,AP,p_any_adj,any adjudication (diff >= t_adj),5.0,0.09843,0.0009420272559751124,100000,0.09658366049127,0.10027633950873001
base,True,0.64,0.3,3,211,AP,p_any_adj,any adjudication (diff >= t_adj),6.0,0.06569,0.0007834208568834506,100000,0.06415452332365928,0.06722547667634071
base,True,0.64,0.3,3,211,SL,p_any_adj,any adjudication (diff >= t_adj),4.0,0.06577,0.0007838641916811865,100000,0.06423365440341577,0.06730634559658422
base,True,0.64,0.3,3,211,SL,p_any_adj,any adjudication (diff >= t_adj),5.0,0.03504,0.0005814825741155104,100000,0.03390031508810627,0.03617968491189373
base,True,0.64,0.3,3,211,SL,p_any_adj,any adjudication (diff >= t_adj),6.0,0.01948,0.00043704152663105137,100000,0.0186234143412981,0.020336585658701903
