cell,u,K,beat_cv,view_over,estimator,axis,estimand,cutoff_mm,metric,value,mcse,n
0,base,1,0.05,False,A3,SL,T1,7.0,prevalence,0.40714,0.0015536312960287583,100000
0,base,1,0.05,False,A3,SL,T1,7.0,nri_events_vs_A1,0.0,0.0,40714
0,base,1,0.05,False,A3,SL,T1,7.0,nri_nonevents_vs_A1,0.0,0.0,59286
0,base,1,0.05,False,A3,SL,T1,7.0,nri_vs_A1,0.0,0.0,100000
0,base,1,0.05,False,A4,SL,T1,7.0,sensitivity,0.8212162892371174,0.00189898207355247,40714
0,base,1,0.05,False,A4,SL,T1,7.0,specificity,0.9074317714131498,0.0011903149606505023,59286
0,base,1,0.05,False,A4,SL,T1,7.0,ppv,0.8590036739203042,0.0017639986797561187,38923
0,base,1,0.05,False,A4,SL,T1,7.0,prevalence,0.40714,0.0015536312960287583,100000
0,base,1,0.05,False,A4,SL,T1,7.0,nri_events_vs_A1,0.0,0.0,40714
0,base,1,0.05,False,A4,SL,T1,7.0,nri_nonevents_vs_A1,0.0,0.0,59286
0,base,1,0.05,False,A4,SL,T1,7.0,nri_vs_A1,0.0,0.0,100000
0,base,1,0.05,False,A5,SL,T1,7.0,sensitivity,0.8212162892371174,0.00189898207355247,40714
0,base,1,0.05,False,A5,SL,T1,7.0,specificity,0.9074317714131498,0.0011903149606505023,59286
0,base,1,0.05,False,A5,SL,T1,7.0,ppv,0.8590036739203042,0.0017639986797561187,38923
0,base,1,0.05,False,A5,SL,T1,7.0,prevalence,0.40714,0.0015536312960287583,100000
0,base,1,0.05,False,A5,SL,T1,7.0,nri_events_vs_A1,0.0,0.0,40714
0,base,1,0.05,False,A5,SL,T1,7.0,nri_nonevents_vs_A1,0.0,0.0,59286
0,base,1,0.05,False,A5,SL,T1,7.0,nri_vs_A1,0.0,0.0,100000
0,base,1,0.05,False,A6,SL,T1,7.0,sensitivity,0.7985459547084541,0.0019877697040417866,40714
0,base,1,0.05,False,A6,SL,T1,7.0,specificity,0.8940221974833856,0.0012641701492352145,59286
0,base,1,0.05,False,A6,SL,T1,7.0,ppv,0.8380461399664906,0.001870431202132674,38795
0,base,1,0.05,False,A6,SL,T1,7.0,prevalence,0.40714,0.0015536312960287583,100000
0,base,1,0.05,False,A6,SL,T1,7.0,nri_events_vs_A1,-0.022670334528663356,0.0015307351223907053,40714
0,base,1,0.05,False,A6,SL,T1,7.0,nri_nonevents_vs_A1,-0.013409573929764197,0.0010558418580251547,59286
0,base,1,0.05,False,A6,SL,T1,7.0,nri_vs_A1,-0.036079908458427554,0.0018595569483289558,100000
0,base,1,0.05,False,A7,SL,T1,7.0,sensitivity,0.8719113818342585,0.0016562258454808324,40714
0,base,1,0.05,False,A7,SL,T1,7.0,specificity,0.8691090645346288,0.0013852107418554794,59286
0,base,1,0.05,False,A7,SL,T1,7.0,ppv,0.8206153632770059,0.0018446934534585404,43259
0,base,1,0.05,False,A7,SL,T1,7.0,prevalence,0.40714,0.0015536312960287583,100000
0,base,1,0.05,False,A7,SL,T1,7.0,nri_events_vs_A1,0.050695092597141035,0.0010872112487679518,40714
0,base,1,0.05,False,A7,SL,T1,7.0,nri_nonevents_vs_A1,-0.038322706878521066,0.000788436451585144,59286
0,base,1,0.05,False,A7,SL,T1,7.0,nri_vs_A1,0.012372385718619969,0.0013430042210044396,100000
0,base,1,0.05,False,A1,SL,T1,10.0,sensitivity,0.7629175092392442,0.003551393650053619,14341
0,base,1,0.05,False,A1,SL,T1,10.0,specificity,0.9684913435832779,0.000596865276465284,85659
0,base,1,0.05,False,A1,SL,T1,10.0,ppv,0.8021260997067449,0.003411209526075914,13640
0,base,1,0.05,False,A1,SL,T1,10.0,prevalence,0.14341,0.0011083481939354618,100000
0,base,1,0.05,False,A1,SL,T1,10.0,nri_events_vs_A1,0.0,0.0,14341
0,base,1,0.05,False,A1,SL,T1,10.0,nri_nonevents_vs_A1,0.0,0.0,85659
0,base,1,0.05,False,A1,SL,T1,10.0,nri_vs_A1,0.0,0.0,100000
0,base,1,0.05,False,A2,SL,T1,10.0,sensitivity,0.7629175092392442,0.003551393650053619,14341
0,base,1,0.05,False,A2,SL,T1,10.0,specificity,0.9684913435832779,0.000596865276465284,85659
0,base,1,0.05,False,A2,SL,T1,10.0,ppv,0.8021260997067449,0.003411209526075914,13640
0,base,1,0.05,False,A2,SL,T1,10.0,prevalence,0.14341,0.0011083481939354618,100000
0,base,1,0.05,False,A2,SL,T1,10.0,nri_events_vs_A1,0.0,0.0,14341
0,base,1,0.05,False,A2,SL,T1,10.0,nri_nonevents_vs_A1,0.0,0.0,85659
0,base,1,0.05,False,A2,SL,T1,10.0,nri_vs_A1,0.0,0.0,100000
0,base,1,0.05,False,A3,SL,T1,10.0,sensitivity,0.7629175092392442,0.003551393650053619,14341
0,base,1,0.05,False,A3,SL,T1,10.0,specificity,0.9684913435832779,0.000596865276465284,85659
0,base,1,0.05,False,A3,SL,T1,10.0,ppv,0.8021260997067449,0.003411209526075914,13640
0,base,1,0.05,False,A3,SL,T1,10.0,prevalence,0.14341,0.0011083481939354618,100000
0,base,1,0.05,False,A3,SL,T1,10.0,nri_events_vs_A1,0.0,0.0,14341
0,base,1,0.05,False,A3,SL,T1,10.0,nri_nonevents_vs_A1,0.0,0.0,85659
0,base,1,0.05,False,A3,SL,T1,10.0,nri_vs_A1,0.0,0.0,100000
0,base,1,0.05,False,A4,SL,T1,10.0,sensitivity,0.7629175092392442,0.003551393650053619,14341
0,base,1,0.05,False,A4,SL,T1,10.0,specificity,0.9684913435832779,0.000596865276465284,85659
0,base,1,0.05,False,A4,SL,T1,10.0,ppv,0.8021260997067449,0.003411209526075914,13640
0,base,1,0.05,False,A4,SL,T1,10.0,prevalence,0.14341,0.0011083481939354618,100000
0,base,1,0.05,False,A4,SL,T1,10.0,nri_events_vs_A1,0.0,0.0,14341
0,base,1,0.05,False,A4,SL,T1,10.0,nri_nonevents_vs_A1,0.0,0.0,85659
0,base,1,0.05,False,A4,SL,T1,10.0,nri_vs_A1,0.0,0.0,100000
0,base,1,0.05,False,A5,SL,T1,10.0,sensitivity,0.7629175092392442,0.003551393650053619,14341
0,base,1,0.05,False,A5,SL,T1,10.0,specificity,0.9684913435832779,0.000596865276465284,85659
0,base,1,0.05,False,A5,SL,T1,10.0,ppv,0.8021260997067449,0.003411209526075914,13640
0,base,1,0.05,False,A5,SL,T1,10.0,prevalence,0.14341,0.0011083481939354618,100000
0,base,1,0.05,False,A5,SL,T1,10.0,nri_events_vs_A1,0.0,0.0,14341
0,base,1,0.05,False,A5,SL,T1,10.0,nri_nonevents_vs_A1,0.0,0.0,85659
0,base,1,0.05,False,A5,SL,T1,10.0,nri_vs_A1,0.0,0.0,100000
0,base,1,0.05,False,A6,SL,T1,10.0,sensitivity,0.746112544452967,0.0036344029356440914,14341
0,base,1,0.05,False,A6,SL,T1,10.0,specificity,0.9619070967440666,0.000654036673919468,85659
0,base,1,0.05,False,A6,SL,T1,10.0,ppv,0.7663109646924013,0.0035812308640342247,13963
0,base,1,0.05,False,A6,SL,T1,10.0,prevalence,0.14341,0.0011083481939354618,100000
0,base,1,0.05,False,A6,SL,T1,10.0,nri_events_vs_A1,-0.016804964786277105,0.002697889836153391,14341
0,base,1,0.05,False,A6,SL,T1,10.0,nri_nonevents_vs_A1,-0.006584246839211293,0.0005174035619581503,85659
0,base,1,0.05,False,A6,SL,T1,10.0,nri_vs_A1,-0.023389211625488397,0.00274705588111104,100000
0,base,1,0.05,False,A7,SL,T1,10.0,sensitivity,0.8394812077261,0.003065340428864549,14341
0,base,1,0.05,False,A7,SL,T1,10.0,specificity,0.9506064745093918,0.0007403701429776311,85659
0,base,1,0.05,False,A7,SL,T1,10.0,ppv,0.7399508297480024,0.00343902545570953,16270
0,base,1,0.05,False,A7,SL,T1,10.0,prevalence,0.14341,0.0011083481939354618,100000
0,base,1,0.05,False,A7,SL,T1,10.0,nri_events_vs_A1,0.07656369848685587,0.0022203692588917525,14341
0,base,1,0.05,False,A7,SL,T1,10.0,nri_nonevents_vs_A1,-0.01788486907388599,0.0004528324945780062,85659
0,base,1,0.05,False,A7,SL,T1,10.0,nri_vs_A1,0.05867882941296988,0.0022660752224887087,100000
0,base,1,0.05,False,A1,SL,T1,13.0,sensitivity,0.7341576506955177,0.006564559472900787,4529
0,base,1,0.05,False,A1,SL,T1,13.0,specificity,0.9890437934032323,0.0003369008693738597,95471
0,base,1,0.05,False,A1,SL,T1,13.0,ppv,0.7606954930221917,0.006453427826082458,4371
0,base,1,0.05,False,A1,SL,T1,13.0,prevalence,0.04529,0.0006575622852627726,100000
0,base,1,0.05,False,A1,SL,T1,13.0,nri_events_vs_A1,0.0,0.0,4529
0,base,1,0.05,False,A1,SL,T1,13.0,nri_nonevents_vs_A1,0.0,0.0,95471
0,base,1,0.05,False,A1,SL,T1,13.0,nri_vs_A1,0.0,0.0,100000
0,base,1,0.05,False,A2,SL,T1,13.0,sensitivity,0.7341576506955177,0.006564559472900787,4529
0,base,1,0.05,False,A2,SL,T1,13.0,specificity,0.9890437934032323,0.0003369008693738597,95471
0,base,1,0.05,False,A2,SL,T1,13.0,ppv,0.7606954930221917,0.006453427826082458,4371
0,base,1,0.05,False,A2,SL,T1,13.0,prevalence,0.04529,0.0006575622852627726,100000
0,base,1,0.05,False,A2,SL,T1,13.0,nri_events_vs_A1,0.0,0.0,4529
0,base,1,0.05,False,A2,SL,T1,13.0,nri_nonevents_vs_A1,0.0,0.0,95471
0,base,1,0.05,False,A2,SL,T1,13.0,nri_vs_A1,0.0,0.0,100000
0,base,1,0.05,False,A3,SL,T1,13.0,sensitivity,0.7341576506955177,0.006564559472900787,4529
0,base,1,0.05,False,A3,SL,T1,13.0,specificity,0.9890437934032323,0.0003369008693738597,95471
0,base,1,0.05,False,A3,SL,T1,13.0,ppv,0.7606954930221917,0.006453427826082458,4371
0,base,1,0.05,False,A3,SL,T1,13.0,prevalence,0.04529,0.0006575622852627726,100000
0,base,1,0.05,False,A3,SL,T1,13.0,nri_events_vs_A1,0.0,0.0,4529
0,base,1,0.05,False,A3,SL,T1,13.0,nri_nonevents_vs_A1,0.0,0.0,95471
0,base,1,0.05,False,A3,SL,T1,13.0,nri_vs_A1,0.0,0.0,100000
0,base,1,0.05,False,A4,SL,T1,13.0,sensitivity,0.7341576506955177,0.006564559472900787,4529
0,base,1,0.05,False,A4,SL,T1,13.0,specificity,0.9890437934032323,0.0003369008693738597,95471
0,base,1,0.05,False,A4,SL,T1,13.0,ppv,0.7606954930221917,0.006453427826082458,4371
0,base,1,0.05,False,A4,SL,T1,13.0,prevalence,0.04529,0.0006575622852627726,100000
0,base,1,0.05,False,A4,SL,T1,13.0,nri_events_vs_A1,0.0,0.0,4529
