cell,p_beat_cv,p_sigma_rb_mm,p_ai_draft_sigma_mm,sentinel_n,anchor_alpha,metric,value,mcse,n,test
3,0.05,0.75,1.0,25,0.0,power_reject_either_unadjusted,0.1385,0.007723915781519112,2000,either_unadjusted
3,0.05,0.75,1.0,25,0.1,power_reject_welch_mean,0.0695,0.005686376262612245,2000,welch_mean
3,0.05,0.75,1.0,25,0.1,power_reject_f_variance,0.206,0.009043340090917736,2000,f_variance
3,0.05,0.75,1.0,25,0.1,power_reject_either_unadjusted,0.2695,0.009921435128044732,2000,either_unadjusted
3,0.05,0.75,1.0,25,0.2,power_reject_welch_mean,0.1065,0.006897744196474671,2000,welch_mean
3,0.05,0.75,1.0,25,0.2,power_reject_f_variance,0.445,0.011112492969626572,2000,f_variance
3,0.05,0.75,1.0,25,0.2,power_reject_either_unadjusted,0.525,0.011166355717063647,2000,either_unadjusted
3,0.05,0.75,1.0,25,0.3,power_reject_welch_mean,0.158,0.008155856791288085,2000,welch_mean
3,0.05,0.75,1.0,25,0.3,power_reject_f_variance,0.7215,0.010023416333765649,2000,f_variance
3,0.05,0.75,1.0,25,0.3,power_reject_either_unadjusted,0.7855,0.009178500694557909,2000,either_unadjusted
3,0.05,0.75,1.0,25,0.5,power_reject_welch_mean,0.3185,0.010417719280149566,2000,welch_mean
3,0.05,0.75,1.0,25,0.5,power_reject_f_variance,0.9905,0.0021690723823791537,2000,f_variance
3,0.05,0.75,1.0,25,0.5,power_reject_either_unadjusted,0.9955,0.0014966211945579198,2000,either_unadjusted
3,0.05,0.75,1.0,50,0.0,power_reject_welch_mean,0.051,0.004919298730510275,2000,welch_mean
3,0.05,0.75,1.0,50,0.0,power_reject_f_variance,0.093,0.0064942667022536114,2000,f_variance
3,0.05,0.75,1.0,50,0.0,power_reject_either_unadjusted,0.14,0.00775886589650833,2000,either_unadjusted
3,0.05,0.75,1.0,50,0.1,power_reject_welch_mean,0.0785,0.006014056451347958,2000,welch_mean
3,0.05,0.75,1.0,50,0.1,power_reject_f_variance,0.2875,0.010120369311443136,2000,f_variance
3,0.05,0.75,1.0,50,0.1,power_reject_either_unadjusted,0.3495,0.010661842007833357,2000,either_unadjusted
3,0.05,0.75,1.0,50,0.2,power_reject_welch_mean,0.1545,0.008081761874739938,2000,welch_mean
3,0.05,0.75,1.0,50,0.2,power_reject_f_variance,0.6275,0.010810729623850556,2000,f_variance
3,0.05,0.75,1.0,50,0.2,power_reject_either_unadjusted,0.705,0.010197426145846804,2000,either_unadjusted
3,0.05,0.75,1.0,50,0.3,power_reject_welch_mean,0.25,0.009682458365518542,2000,welch_mean
3,0.05,0.75,1.0,50,0.3,power_reject_f_variance,0.9095,0.006415206543830059,2000,f_variance
3,0.05,0.75,1.0,50,0.3,power_reject_either_unadjusted,0.942,0.005226662414964259,2000,either_unadjusted
3,0.05,0.75,1.0,50,0.5,power_reject_welch_mean,0.469,0.011158830583891844,2000,welch_mean
3,0.05,0.75,1.0,50,0.5,power_reject_f_variance,1.0,0.0,2000,f_variance
3,0.05,0.75,1.0,50,0.5,power_reject_either_unadjusted,1.0,0.0,2000,either_unadjusted
3,0.05,0.75,1.0,100,0.0,power_reject_welch_mean,0.051,0.004919298730510275,2000,welch_mean
3,0.05,0.75,1.0,100,0.0,power_reject_f_variance,0.0895,0.006383171233799075,2000,f_variance
3,0.05,0.75,1.0,100,0.0,power_reject_either_unadjusted,0.135,0.007641171376170017,2000,either_unadjusted
3,0.05,0.75,1.0,100,0.1,power_reject_welch_mean,0.1045,0.006840312492861711,2000,welch_mean
3,0.05,0.75,1.0,100,0.1,power_reject_f_variance,0.3985,0.010947551096021428,2000,f_variance
3,0.05,0.75,1.0,100,0.1,power_reject_either_unadjusted,0.4675,0.011156696419639641,2000,either_unadjusted
3,0.05,0.75,1.0,100,0.2,power_reject_welch_mean,0.215,0.009186266924055712,2000,welch_mean
3,0.05,0.75,1.0,100,0.2,power_reject_f_variance,0.821,0.00857201843208471,2000,f_variance
3,0.05,0.75,1.0,100,0.2,power_reject_either_unadjusted,0.8765,0.00735689302627135,2000,either_unadjusted
3,0.05,0.75,1.0,100,0.3,power_reject_welch_mean,0.3885,0.01089880153961893,2000,welch_mean
3,0.05,0.75,1.0,100,0.3,power_reject_f_variance,0.987,0.0025328837320335107,2000,f_variance
3,0.05,0.75,1.0,100,0.3,power_reject_either_unadjusted,0.994,0.0017268468374467964,2000,either_unadjusted
3,0.05,0.75,1.0,100,0.5,power_reject_welch_mean,0.624,0.010831066429488834,2000,welch_mean
3,0.05,0.75,1.0,100,0.5,power_reject_f_variance,1.0,0.0,2000,f_variance
3,0.05,0.75,1.0,100,0.5,power_reject_either_unadjusted,1.0,0.0,2000,either_unadjusted
4,0.05,0.75,2.0,10,0.0,power_reject_welch_mean,0.041,0.004433903472111228,2000,welch_mean
4,0.05,0.75,2.0,10,0.0,power_reject_f_variance,0.0575,0.005205465877325487,2000,f_variance
4,0.05,0.75,2.0,10,0.0,power_reject_either_unadjusted,0.0985,0.006663248081829162,2000,either_unadjusted
4,0.05,0.75,2.0,10,0.1,power_reject_welch_mean,0.0445,0.004610843198374892,2000,welch_mean
4,0.05,0.75,2.0,10,0.1,power_reject_f_variance,0.1345,0.007629211951440331,2000,f_variance
4,0.05,0.75,2.0,10,0.1,power_reject_either_unadjusted,0.179,0.008572018432084709,2000,either_unadjusted
4,0.05,0.75,2.0,10,0.2,power_reject_welch_mean,0.0475,0.004756245893559331,2000,welch_mean
4,0.05,0.75,2.0,10,0.2,power_reject_f_variance,0.285,0.010093933821855581,2000,f_variance
4,0.05,0.75,2.0,10,0.2,power_reject_either_unadjusted,0.331,0.010522333391410862,2000,either_unadjusted
4,0.05,0.75,2.0,10,0.3,power_reject_welch_mean,0.061,0.005351588549206675,2000,welch_mean
4,0.05,0.75,2.0,10,0.3,power_reject_f_variance,0.483,0.011173875782377394,2000,f_variance
4,0.05,0.75,2.0,10,0.3,power_reject_either_unadjusted,0.538,0.011148004305704227,2000,either_unadjusted
4,0.05,0.75,2.0,10,0.5,power_reject_welch_mean,0.0915,0.00644700511865781,2000,welch_mean
