u,axis,cutoff_mm,estimator,fnr_mcse,fpr_mcse,nri_events_vs_A1_mcse,nri_nonevents_vs_A1_mcse,nri_vs_A1_mcse,ppv_mcse,prevalence_mcse,sensitivity_mcse,specificity_mcse,fnr,fpr,nri_events_vs_A1,nri_nonevents_vs_A1,nri_vs_A1,ppv,prevalence,sensitivity,specificity
base,AP,13.0,A1,0.0025465849546581,0.0009032930416432957,0.0,0.0,0.0,0.0024775035738208297,0.001384669158680152,0.0025465849546581,0.0009032930416432957,0.2131394764316925,0.06467581165108782,0.0,0.0,0.0,0.8092984409799554,0.25861,0.7868605235683075,0.9353241883489122
base,AP,13.0,A2,0.0029782845395931483,0.0005601875804983455,0.0026262878625285258,0.0008242512454275524,0.0027525947853713453,0.0021709678828945294,0.001384669158680152,0.0029782845395931483,0.0005601875804983455,0.3564440663547427,0.02383360984097438,-0.14330458992305015,0.040842201810113436,-0.1024623881129367,0.9040195545898968,0.25861,0.6435559336452573,0.9761663901590256
base,AP,13.0,A3,0.002085712574638143,0.001118825467841906,0.0017244256361542143,0.0007096529619635702,0.001864738882806259,0.0025056524663332473,0.001384669158680152,0.002085712574638143,0.001118825467841906,0.12919067321449285,0.10352176317457751,0.08394880321719965,-0.03884595152348966,0.04510285169370999,0.7458188441795,0.25861,0.8708093267855072,0.8964782368254225
base,AP,13.0,A4,0.0021598061802239723,0.0010705314122773687,0.0016157109433932266,0.0006171194915525231,0.0017295543701932807,0.0024935495833299077,0.001384669158680152,0.0021598061802239723,0.0010705314122773687,0.14032713352151893,0.09375632258325572,0.07281234291017362,-0.029080510932167954,0.04373183197800566,0.7618133845046774,0.25861,0.8596728664784811,0.9062436774167443
base,AP,13.0,A5,0.0029535767104324037,0.0006068895004523473,0.0024053711104472675,0.0007537460136733687,0.0025207029242064237,0.0022606873540876146,0.001384669158680152,0.0029535767104324037,0.0006068895004523473,0.3437995437144735,0.0280958739664684,-0.13066006728278104,0.03657993768461944,-0.0940801295981616,0.8906733847688029,0.25861,0.6562004562855265,0.9719041260335316
base,AP,13.0,A6,0.0026564036637583125,0.0009912691634509463,0.002273255514929407,0.0008520597617008977,0.0024276936531751185,0.0026340373361779528,0.001384669158680152,0.0026564036637583125,0.0009912691634509463,0.2401685936352036,0.07910816169627322,-0.02702911720351108,-0.014432350045185394,-0.041461467248696475,0.770135214579659,0.25861,0.7598314063647964,0.9208918383037268
base,AP,13.0,A7,0.0020846487577264004,0.0009825636699048236,0.002144633776133031,0.0008549441810996572,0.0023087623495125667,0.002393976861970868,0.001384669158680152,0.0020846487577264004,0.0009825636699048236,0.1290360001546731,0.07759748580369308,0.08410347627701945,-0.012921674152605239,0.0711818021244142,0.7965484315875093,0.25861,0.8709639998453269,0.9224025141963069
base,SL,7.0,A1,0.0018832195809413217,0.001343556794576192,0.0,0.0,0.0,0.0018810542283186314,0.0015548308946634678,0.0018832195809413217,0.001343556794576192,0.17613705794657475,0.12138855508352653,0.0,0.0,0.0,0.8245682696541266,0.40917,0.8238629420534253,0.8786114449164735
base,SL,7.0,A2,0.0022105564083265286,0.0009255078741537258,0.001890688241931899,0.0011966146905608153,0.002237540780822886,0.0016302777336290207,0.0015548308946634678,0.0022105564083265286,0.0009255078741537258,0.27626658845956453,0.05346715637323762,-0.1001295305129897,0.06792139871028892,-0.03220813180270078,0.9036067374588063,0.40917,0.7237334115404355,0.9465328436267624
base,SL,7.0,A3,0.001486360953269629,0.0015959820545607356,0.001307214617805229,0.0010007825975038513,0.001646321920060055,0.0019224093140324237,0.0015548308946634678,0.001486360953269629,0.0015959820545607356,0.10049612630447002,0.1845539326032869,0.07564093164210475,-0.06316537751976034,0.012475554122344412,0.771447735228154,0.40917,0.89950387369553,0.8154460673967131
base,SL,7.0,A4,0.0015096717465694822,0.0015819572862996235,0.001278270136961417,0.000969513673225997,0.001604347626176922,0.0019205110580315361,0.0015548308946634678,0.0015096717465694822,0.0015819572862996235,0.10408876506097708,0.18040722373610008,0.07204829288559768,-0.0590186686525735,0.01302962423302418,0.7747321258744214,0.40917,0.8959112349390229,0.8195927762638999
base,SL,7.0,A5,0.0022069143094422534,0.0009926113432551281,0.0017488829745713717,0.0010912674994304542,0.0020614209696369168,0.0017135145244279119,0.0015548308946634678,0.0022069143094422534,0.0009926113432551281,0.27480020529364324,0.062065230269282234,-0.09866314734706845,0.05932332481424437,-0.03933982253282408,0.8900119976004799,0.40917,0.7251997947063568,0.9379347697307178
base,SL,7.0,A6,0.0020118193584522156,0.0014105209985110362,0.0017193934589504365,0.001241941600812042,0.0021210216421595333,0.001986966715970544,0.0015548308946634678,0.0020118193584522156,0.0014105209985110362,0.20949727497128334,0.1360628268706735,-0.03336021702470856,-0.014674271787146892,-0.04803448881185545,0.8009360142630745,0.40917,0.7905027250287167,0.8639371731293265
base,SL,7.0,A7,0.0015734152978794202,0.0014634261345329242,0.001583296732380572,0.0012548954103047355,0.0020202947887798177,0.0018675352645470724,0.0015548308946634678,0.0015734152978794202,0.0014634261345329242,0.11437788694185791,0.14862143086843926,0.06175917100471686,-0.02723287578491275,0.03452629521980411,0.8049446887911502,0.40917,0.8856221130581421,0.8513785691315607
base,SL,10.0,A1,0.003500306994307614,0.0007274344639954739,0.0,0.0,0.0,0.0035762820048574053,0.00111709523989676,0.003500306994307614,0.0007274344639954739,0.2336640437906261,0.047432218773789336,0.0,0.0,0.0,0.7344262295081967,0.14615,0.7663359562093739,0.9525677812262107
