cell,u_anchor,u_long,anchor_mean_pct,long_mean_pct,combo,K,beat_cv,view_over,window,S_median_mm,axis,estimand,estimator,bias_mcse,relbias_pct_mcse,rmse_mcse,sd_err_mcse,bias,relbias_pct,rmse,sd_err
2,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.15,10.0,AP,T1,A6,0.005683357842928232,0.05730782820804013,0.004768830629047192,0.00401876096449936,-0.187914952360266,-1.7401718897114034,1.8070238974185082,1.79723555414347
2,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.15,10.0,AP,T1,A7,0.004818596947000464,0.0473363453624684,0.00430098177971926,0.003407279613469482,0.11275586220862993,1.23415398331361,1.5279326946400793,1.5237741478855125
2,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.15,10.0,AP,T2,A1,0.004932004645979237,0.0503577748116391,0.004274469553923721,0.0034874713674159074,0.10341591443935837,1.147382193463544,1.5630539048559966,1.55963681118268
2,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.15,10.0,AP,T2,A2,0.004720820695203118,0.04698696602649265,0.004149036238661328,0.0033381410170907288,-0.19686903003019557,-1.6634623134497848,1.5057722047052136,1.4928545822101378
2,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.15,10.0,AP,T2,A3,0.0048076071686048725,0.048785789634754544,0.004363856080329787,0.003399508627787196,0.35189505272315497,4.007393539548991,1.5604857204750193,1.5202988748144544
2,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.15,10.0,AP,T2,A4,0.004806950812645595,0.04878391831130154,0.004363313644887658,0.003399044511716933,0.35152912726662255,4.004733793769385,1.5602010229647119,1.5200913168357404
2,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.15,10.0,AP,T2,A5,0.004720820695203118,0.04698696602649265,0.004149036238661328,0.0033381410170907288,-0.19686903003019557,-1.6634623134497848,1.5057722047052136,1.4928545822101378
2,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.15,10.0,AP,T2,A6,0.0056362532863274434,0.05842396601359238,0.004783537109903388,0.003985452846561151,0.07102637052681911,0.6723442002068932,1.7837455224114218,1.7823397854403888
2,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.15,10.0,AP,T2,A7,0.004875031299085822,0.048931030957856066,0.004599833572174024,0.0034471849260479695,0.37169718509571503,3.756330659125092,1.5857894085232602,1.541620256972073
2,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.15,10.0,SL,T1,A1,0.004010702392754104,0.06773160878601223,0.003137083332202094,0.0028360090393181863,-0.04417940120693499,-0.070079179685721,1.2690583525124723,1.268295457819017
2,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.15,10.0,SL,T1,A2,0.003727589574919101,0.060926402950790035,0.003099464715173971,0.00263581704502375,-0.2352482544317943,-2.803894609207992,1.2020067596289647,1.178767323904322
2,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.15,10.0,SL,T1,A3,0.0038313369993069096,0.06495608553407903,0.0030978742532632633,0.0027091779191442955,0.228340537678349,4.831051517295495,1.232898634207145,1.2115751401484796
2,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.15,10.0,SL,T1,A4,0.00383140628046112,0.06495798835534565,0.0030979004830450183,0.0027092269085631938,0.2282100150276305,4.829430297781228,1.2328959971873203,1.2115970487731025
2,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.15,10.0,SL,T1,A5,0.003727589574919101,0.060926402950790035,0.003099464715173971,0.00263581704502375,-0.2352482544317943,-2.803894609207992,1.2020067596289647,1.178767323904322
2,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.15,10.0,SL,T1,A6,0.004680131657428701,0.0810304100912746,0.0035819517241015304,0.0033093693787019313,-0.10151842158422812,-1.4058125010729086,1.483457892686966,1.4799875786933592
2,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.15,10.0,SL,T1,A7,0.0038080860524322352,0.06351625480914191,0.003103159387503001,0.0026927369347350774,0.13299578029754178,2.545453058543435,1.21153840811196,1.204222545160525
2,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.15,10.0,SL,T2,A1,0.003976928413534144,0.06915198732098095,0.0031364373695386173,0.0028121271101741543,0.122151952066176,2.385851334904113,1.2635273024638174,1.2576151878207897
2,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.15,10.0,SL,T2,A2,0.003692258030212649,0.062369473761654755,0.002997449081841588,0.0026108337452552107,-0.06891690115868335,-0.4029600286852066,1.1696208114867543,1.1675945084518766
2,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.15,10.0,SL,T2,A3,0.0038049802042736214,0.06646217751974043,0.003183323307907783,0.002690540757459872,0.39467189095145994,7.418857014379178,1.266309148322107,1.203240389735739
2,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.15,10.0,SL,T2,A4,0.003804997884960393,0.06646389301971994,0.003183240714260004,0.0026905532596558954,0.39454136830074144,7.417181156476703,1.2662737870409477,1.2032459808598184
