cell,p_beat_cv,p_view_over,p_ai_shared_lambda,ai,sigma_ai_mm,ref,metric,value,mcse,n,mci_lo,mci_hi,note
0,0.05,False,0.0,shared,2.0,adj_tol3,paired_mae_diff_mean,0.0,0.0,2000,0.0,0.0,lambda 0: shared AI identical to independent AI (difference exactly 0)
0,0.05,False,0.0,shared,2.0,adj_tol3,paired_mae_diff_sd,0.0,0.0,2000,0.0,0.0,lambda 0: shared AI identical to independent AI (difference exactly 0)
0,0.05,False,0.0,shared,2.0,mean2,p_lower_mae_than_independent,0.0,0.0,2000,0.0,0.0,lambda 0: shared AI identical to independent AI (difference exactly 0)
0,0.05,False,0.0,shared,2.0,mean2,paired_mae_diff_mean,0.0,0.0,2000,0.0,0.0,lambda 0: shared AI identical to independent AI (difference exactly 0)
0,0.05,False,0.0,shared,2.0,mean2,paired_mae_diff_sd,0.0,0.0,2000,0.0,0.0,lambda 0: shared AI identical to independent AI (difference exactly 0)
0,0.05,False,0.0,shared,2.0,single,p_lower_mae_than_independent,0.0,0.0,2000,0.0,0.0,lambda 0: shared AI identical to independent AI (difference exactly 0)
0,0.05,False,0.0,shared,2.0,single,paired_mae_diff_mean,0.0,0.0,2000,0.0,0.0,lambda 0: shared AI identical to independent AI (difference exactly 0)
0,0.05,False,0.0,shared,2.0,single,paired_mae_diff_sd,0.0,0.0,2000,0.0,0.0,lambda 0: shared AI identical to independent AI (difference exactly 0)
0,0.05,False,0.0,shared,3.0,T1,p_lower_mae_than_independent,0.0,0.0,2000,0.0,0.0,lambda 0: shared AI identical to independent AI (difference exactly 0)
0,0.05,False,0.0,shared,3.0,T1,paired_mae_diff_mean,0.0,0.0,2000,0.0,0.0,lambda 0: shared AI identical to independent AI (difference exactly 0)
0,0.05,False,0.0,shared,3.0,T1,paired_mae_diff_sd,0.0,0.0,2000,0.0,0.0,lambda 0: shared AI identical to independent AI (difference exactly 0)
0,0.05,False,0.0,shared,3.0,adj_tol1,p_lower_mae_than_independent,0.0,0.0,2000,0.0,0.0,lambda 0: shared AI identical to independent AI (difference exactly 0)
0,0.05,False,0.0,shared,3.0,adj_tol1,paired_mae_diff_mean,0.0,0.0,2000,0.0,0.0,lambda 0: shared AI identical to independent AI (difference exactly 0)
0,0.05,False,0.0,shared,3.0,adj_tol1,paired_mae_diff_sd,0.0,0.0,2000,0.0,0.0,lambda 0: shared AI identical to independent AI (difference exactly 0)
0,0.05,False,0.0,shared,3.0,adj_tol2,p_lower_mae_than_independent,0.0,0.0,2000,0.0,0.0,lambda 0: shared AI identical to independent AI (difference exactly 0)
0,0.05,False,0.0,shared,3.0,adj_tol2,paired_mae_diff_mean,0.0,0.0,2000,0.0,0.0,lambda 0: shared AI identical to independent AI (difference exactly 0)
0,0.05,False,0.0,shared,3.0,adj_tol2,paired_mae_diff_sd,0.0,0.0,2000,0.0,0.0,lambda 0: shared AI identical to independent AI (difference exactly 0)
0,0.05,False,0.0,shared,3.0,adj_tol3,p_lower_mae_than_independent,0.0,0.0,2000,0.0,0.0,lambda 0: shared AI identical to independent AI (difference exactly 0)
0,0.05,False,0.0,shared,3.0,adj_tol3,paired_mae_diff_mean,0.0,0.0,2000,0.0,0.0,lambda 0: shared AI identical to independent AI (difference exactly 0)
0,0.05,False,0.0,shared,3.0,adj_tol3,paired_mae_diff_sd,0.0,0.0,2000,0.0,0.0,lambda 0: shared AI identical to independent AI (difference exactly 0)
0,0.05,False,0.0,shared,3.0,mean2,p_lower_mae_than_independent,0.0,0.0,2000,0.0,0.0,lambda 0: shared AI identical to independent AI (difference exactly 0)
0,0.05,False,0.0,shared,3.0,mean2,paired_mae_diff_mean,0.0,0.0,2000,0.0,0.0,lambda 0: shared AI identical to independent AI (difference exactly 0)
0,0.05,False,0.0,shared,3.0,mean2,paired_mae_diff_sd,0.0,0.0,2000,0.0,0.0,lambda 0: shared AI identical to independent AI (difference exactly 0)
0,0.05,False,0.0,shared,3.0,single,p_lower_mae_than_independent,0.0,0.0,2000,0.0,0.0,lambda 0: shared AI identical to independent AI (difference exactly 0)
0,0.05,False,0.0,shared,3.0,single,paired_mae_diff_mean,0.0,0.0,2000,0.0,0.0,lambda 0: shared AI identical to independent AI (difference exactly 0)
0,0.05,False,0.0,shared,3.0,single,paired_mae_diff_sd,0.0,0.0,2000,0.0,0.0,lambda 0: shared AI identical to independent AI (difference exactly 0)
1,0.05,False,0.5,inherited,1.0,T1,p_lower_mae_than_independent,0.0995,0.006693270874542581,2000,0.08638143004364802,0.11261856995635199,
1,0.05,False,0.5,inherited,1.0,T1,paired_mae_diff_mean,0.017591189815471735,0.000313378023399856,2000,0.01697698017121686,0.01820539945972661,
1,0.05,False,0.5,inherited,1.0,T1,paired_mae_diff_sd,0.014014691259531958,0.00022164714413511397,2000,0.013580270836324322,0.014449111682739593,
1,0.05,False,0.5,inherited,1.0,adj_tol1,p_lower_mae_than_independent,0.7585,0.009570207677997381,2000,0.7397427374786015,0.7772572625213984,
1,0.05,False,0.5,inherited,1.0,adj_tol1,paired_mae_diff_mean,-0.013136133337855386,0.0004274906566961352,2000,-0.013973999635316169,-0.012298267040394602,
1,0.05,False,0.5,inherited,1.0,adj_tol1,paired_mae_diff_sd,0.01911796336237168,0.00030235714097999613,2000,0.018525354250907962,0.019710572473835397,
1,0.05,False,0.5,inherited,1.0,adj_tol2,p_lower_mae_than_independent,0.762,0.00952249967182987,2000,0.7433362434532016,0.7806637565467984,
1,0.05,False,0.5,inherited,1.0,adj_tol2,paired_mae_diff_mean,-0.013091304991630366,0.00042145104356790285,2000,-0.013917333864785887,-0.012265276118474845,
1,0.05,False,0.5,inherited,1.0,adj_tol2,paired_mae_diff_sd,0.018847863652121127,0.0002980854215178896,2000,0.018263626957021238,0.019432100347221017,
1,0.05,False,0.5,inherited,1.0,adj_tol3,p_lower_mae_than_independent,0.771,0.009395717109406817,2000,0.7525847327113786,0.7894152672886214,
1,0.05,False,0.5,inherited,1.0,adj_tol3,paired_mae_diff_mean,-0.013285495059316539,0.0004189048904212741,2000,-0.014106533563966182,-0.012464456554666896,
