axis,cutoff_mm,estimator,prevalence_min,prevalence_max,sensitivity_min,sensitivity_min_mcse,sensitivity_min_combo,sensitivity_max,sensitivity_max_mcse,sensitivity_max_combo,sensitivity_range,specificity_min,specificity_min_mcse,specificity_min_combo,specificity_max,specificity_max_mcse,specificity_max_combo,specificity_range,ppv_min,ppv_min_mcse,ppv_min_combo,ppv_max,ppv_max_mcse,ppv_max_combo,ppv_range
SL,10.0,A3,0.14115,0.14381,0.6871952069109656,0.00386981576431122,20/40,0.9078004314243964,0.0024133268355131135,2.4/8,0.2206052245134308,0.8997419098669843,0.0010263801698642708,2.4/8,0.9583518202834925,0.0006826639293471191,20/40,0.058609910416508204,0.6031158984790347,0.003326549121726656,2.4/8,0.7344203707840071,0.0038107947901429295,20/40,0.13130447230497244
SL,10.0,A4,0.14115,0.14381,0.6596070781663648,0.0039549995926479705,20/40,0.8988240205970357,0.0025155476542953648,2.4/8,0.23921694243067093,0.9061766457625338,0.0009964407365402436,2.4/8,0.9639095812997688,0.0006373244305288222,20/40,0.05773293553723502,0.6165338170015751,0.003359228979298076,2.4/8,0.7538816784775858,0.0038436694906752267,20/40,0.13734786147601075
SL,10.0,A5,0.14115,0.14381,0.3694440574056012,0.0040285585798279615,20/40,0.770162132071533,0.0035096061142539225,2.4/8,0.40071807466593173,0.9623842389844562,0.0006502026588936757,2.4/8,0.9931462064778274,0.0002819152440054519,20/40,0.030761967493371123,0.7745818461753796,0.0034956438879754836,2.4/8,0.900339558573854,0.0039030752283093907,20/40,0.12575771239847433
SL,10.0,A6,0.14115,0.14381,0.49302160821820756,0.004208111712319547,20/20,0.7711953108645594,0.0035089437186807504,2.4/40,0.27817370264635183,0.9326396431115627,0.0008565420519325316,2.4/8,0.9731102444947809,0.0005527400159926065,20/40,0.04047060138321823,0.6544245401713499,0.003680951175620015,2.4/8,0.7593772855500993,0.004369366292161249,20/40,0.10495274537874943
SL,10.0,A7,0.14115,0.14381,0.8394872509405044,0.0030639053713105695,20/40,0.8528509689111947,0.002957671004472579,4.8/8,0.013363717970690359,0.8911099175676622,0.001064403415827721,20/40,0.9482418339581217,0.0007570743969712397,2.4/8,0.05713191639045945,0.5637163173652695,0.0033919666048778103,20/40,0.733997240386346,0.0034224373856394028,4.8/8,0.17028092302107645
SL,13.0,A1,0.04525,0.04694,0.44996729888816217,0.007345483060409856,20/8,0.7694300518134715,0.006188731597561482,2.4/40,0.3194627529253093,0.9763232950255851,0.0004923297953404125,2.4/40,0.9923691327225844,0.00028173761508000673,20/20,0.0160458376969993,0.6118523652746491,0.006414994029157003,2.4/20,0.7422096317280453,0.008231221531215804,20/20,0.13035726645339618
SL,13.0,A2,0.04525,0.04694,0.2597849462365591,0.006430718081367535,20/40,0.7474813841436706,0.006429525706523632,2.4/8,0.4876964379071115,0.9856340507575916,0.0003851886215429478,2.4/8,0.9987624541164132,0.00011385481715470954,20/40,0.013128403358821594,0.7134197324414716,0.006537325584310311,2.4/8,0.9110105580693816,0.00781914352063583,20/40,0.19759082562790997
SL,13.0,A3,0.04525,0.04694,0.6408602150537634,0.007035369931122567,20/40,0.8918090232150679,0.004596883509968128,2.4/8,0.2509488081613045,0.9574470314562944,0.0006533873862508882,2.4/8,0.9835658101730467,0.0004117328445833593,20/40,0.026118778716752278,0.5006762572236567,0.005544268074419193,2.4/8,0.655377171761601,0.007047826413692873,20/40,0.15470091453794432
SL,13.0,A4,0.04525,0.04694,0.6055913978494624,0.007166986089908749,20/40,0.8749452474813841,0.004895224177988654,2.4/8,0.26935384963192177,0.9623195087704591,0.0006164052932719747,2.4/8,0.9865862611431568,0.00037254788871173575,20/40,0.02426675237269771,0.5262811223817678,0.00573085930156988,2.4/8,0.6876678876678877,0.007242203739418085,20/40,0.16138676528611984
SL,13.0,A5,0.04525,0.04694,0.3027956989247312,0.00673795961007269,20/40,0.7310556285589137,0.006562034189900823,2.4/8,0.4282599296341825,0.985351132719995,0.000388907186712384,2.4/8,0.9974934452018878,0.00016193222316569469,20/40,0.012142312481892792,0.7048141891891891,0.006627949813503092,2.4/8,0.8548876745598057,0.008678803972924224,20/40,0.1500734853706166
