cell,p_beat_cv,p_sigma_rb_mm,p_ai_draft_sigma_mm,test,w_anchor,min_n_any,min_n_strict,min_n_liberal,max_power_tested,power_at_min_n_any,mcse_power_any,power_mci_lo_any,size_at_min_n_any,power_at_min_n_strict,mcse_power_strict,power_mci_lo_strict,size_at_min_n_strict,power_at_min_n_liberal,mcse_power_liberal,power_mci_lo_liberal,size_at_min_n_liberal
6,0.05,2.0,1.0,welch_mean,0.1,,,,0.1865,,,,,,,,,,,,
6,0.05,2.0,1.0,welch_mean,0.2,,,,0.4325,,,,,,,,,,,,
6,0.05,2.0,1.0,welch_mean,0.3,,,,0.5865,,,,,,,,,,,,
6,0.05,2.0,1.0,welch_mean,0.5,,,,0.7465,,,,,,,,,,,,
7,0.05,2.0,2.0,bf,0.1,,,,0.2315,,,,,,,,,,,,
7,0.05,2.0,2.0,bf,0.2,,,,0.731,,,,,,,,,,,,
7,0.05,2.0,2.0,bf,0.3,50.0,50.0,50.0,0.9755,0.8615,0.007723915781519111,0.8463614031291907,0.052,0.8615,0.007723915781519111,0.8463614031291907,0.052,0.8615,0.007723915781519111,0.8463614031291907,0.052
7,0.05,2.0,2.0,bf,0.5,25.0,25.0,25.0,1.0,0.9795,0.0031685761786644775,0.9732897047585601,0.0465,0.9795,0.0031685761786644775,0.9732897047585601,0.0465,0.9795,0.0031685761786644775,0.9732897047585601,0.0465
7,0.05,2.0,2.0,bf_onesided,0.1,,,,0.3305,,,,,,,,,,,,
7,0.05,2.0,2.0,bf_onesided,0.2,100.0,100.0,100.0,0.815,0.815,0.008682597537603596,0.7979824213998082,0.0415,0.815,0.008682597537603596,0.7979824213998082,0.0415,0.815,0.008682597537603596,0.7979824213998082,0.0415
7,0.05,2.0,2.0,bf_onesided,0.3,50.0,50.0,50.0,0.989,0.904,0.006587260432076448,0.8910892066945058,0.0415,0.904,0.006587260432076448,0.8910892066945058,0.0415,0.904,0.006587260432076448,0.8910892066945058,0.0415
7,0.05,2.0,2.0,bf_onesided,0.5,10.0,10.0,10.0,1.0,0.825,0.008496322733983215,0.8083475133090112,0.024,0.825,0.008496322733983215,0.8083475133090112,0.024,0.825,0.008496322733983215,0.8083475133090112,0.024
7,0.05,2.0,2.0,either_unadjusted,0.1,,,,0.4815,,,,,,,,,,,,
7,0.05,2.0,2.0,either_unadjusted,0.2,100.0,,,0.9105,0.9105,0.006383171233799076,0.8979892141759183,0.1155,,,,,,,,
7,0.05,2.0,2.0,either_unadjusted,0.3,25.0,,,0.9995,0.8315,0.008369819293150838,0.8150954554989189,0.114,,,,,,,,
7,0.05,2.0,2.0,either_unadjusted,0.5,10.0,,,1.0,0.9305,0.005686376262612245,0.9193549072348255,0.098,,,,,,,,
7,0.05,2.0,2.0,f_variance,0.1,,,,0.392,,,,,,,,,,,,
7,0.05,2.0,2.0,f_variance,0.2,100.0,,100.0,0.8655,0.8655,0.0076292119514403305,0.8505470192268072,0.0635,,,,,0.8655,0.0076292119514403305,0.8505470192268072,0.0635
7,0.05,2.0,2.0,f_variance,0.3,50.0,,50.0,0.9965,0.9355,0.005492711079239468,0.9247344840222895,0.0675,,,,,0.9355,0.005492711079239468,0.9247344840222895,0.0675
7,0.05,2.0,2.0,f_variance,0.5,10.0,10.0,10.0,1.0,0.8795,0.007279414468211026,0.8652326097012272,0.0495,0.8795,0.007279414468211026,0.8652326097012272,0.0495,0.8795,0.007279414468211026,0.8652326097012272,0.0495
7,0.05,2.0,2.0,welch_mean,0.1,,,,0.129,,,,,,,,,,,,
7,0.05,2.0,2.0,welch_mean,0.2,,,,0.302,,,,,,,,,,,,
7,0.05,2.0,2.0,welch_mean,0.3,,,,0.444,,,,,,,,,,,,
7,0.05,2.0,2.0,welch_mean,0.5,,,,0.6495,,,,,,,,,,,,
8,0.05,2.0,3.0,bf,0.1,,,,0.246,,,,,,,,,,,,
8,0.05,2.0,3.0,bf,0.2,,,,0.7615,,,,,,,,,,,,
8,0.05,2.0,3.0,bf,0.3,50.0,50.0,50.0,0.982,0.8725,0.007458007441669657,0.8578825739025955,0.041,0.8725,0.007458007441669657,0.8578825739025955,0.041,0.8725,0.007458007441669657,0.8578825739025955,0.041
8,0.05,2.0,3.0,bf,0.5,25.0,25.0,25.0,1.0,0.985,0.002717995584985378,0.9796728265012697,0.0505,0.985,0.002717995584985378,0.9796728265012697,0.0505,0.985,0.002717995584985378,0.9796728265012697,0.0505
8,0.05,2.0,3.0,bf_onesided,0.1,,,,0.3585,,,,,,,,,,,,
8,0.05,2.0,3.0,bf_onesided,0.2,100.0,100.0,100.0,0.8335,0.8335,0.008329998499399624,0.8171735028211228,0.046,0.8335,0.008329998499399624,0.8171735028211228,0.046,0.8335,0.008329998499399624,0.8171735028211228,0.046
8,0.05,2.0,3.0,bf_onesided,0.3,50.0,50.0,50.0,0.9915,0.918,0.006134981662564281,0.9059756568007139,0.0375,0.918,0.006134981662564281,0.9059756568007139,0.0375,0.918,0.006134981662564281,0.9059756568007139,0.0375
8,0.05,2.0,3.0,bf_onesided,0.5,10.0,10.0,10.0,1.0,0.8145,0.008691655480977141,0.7974646681568821,0.0315,0.8145,0.008691655480977141,0.7974646681568821,0.0315,0.8145,0.008691655480977141,0.7974646681568821,0.0315
8,0.05,2.0,3.0,either_unadjusted,0.1,,,,0.4645,,,,,,,,,,,,
8,0.05,2.0,3.0,either_unadjusted,0.2,100.0,,,0.912,0.912,0.0063346665263453285,0.8995842816563582,0.099,,,,,,,,
8,0.05,2.0,3.0,either_unadjusted,0.3,25.0,,,0.9975,0.845,0.008092434738692676,0.8291391192398129,0.1025,,,,,,,,
8,0.05,2.0,3.0,either_unadjusted,0.5,10.0,,,1.0,0.93,0.005705260730238364,0.9188178943581191,0.102,,,,,,,,
8,0.05,2.0,3.0,f_variance,0.1,,,,0.41,,,,,,,,,,,,
8,0.05,2.0,3.0,f_variance,0.2,100.0,100.0,100.0,0.8805,0.8805,0.0072532665055132246,0.8662838587667883,0.059,0.8805,0.0072532665055132246,0.8662838587667883,0.059,0.8805,0.0072532665055132246,0.8662838587667883,0.059
8,0.05,2.0,3.0,f_variance,0.3,50.0,100.0,50.0,0.9965,0.9525,0.00475624589355933,0.9431779292734759,0.062,0.9965,0.0013205585939290896,0.9939117526960084,0.059,0.9525,0.00475624589355933,0.9431779292734759,0.062
