p_beat_cv,p_view_over,sigma_ai_mm,ref,m,apparent_min,apparent_max,mcse_apparent_max,range_over_max_mcse
0.15,True,2.0,adj_tol1,icc,0.8360321657446786,0.8372514853740117,0.0005993171495849778,2.034514831049722
0.15,True,2.0,adj_tol1,mae,2.178660936297233,2.1847540028753154,0.003177811121784882,1.9173784547208117
0.15,True,2.0,adj_tol2,ba_bias,-0.4135596298728677,-0.4096921253495857,0.009649348305702044,0.40080473838804104
0.15,True,2.0,adj_tol2,icc,0.8398593612856871,0.8404906949165587,0.0005852936376383672,1.078661359482817
0.15,True,2.0,adj_tol2,mae,2.1473176213534098,2.1542268465363597,0.003075931274903903,2.2462222219726775
0.15,True,2.0,adj_tol3,ba_bias,-0.4102968284868622,-0.40865000867012147,0.009482981575327287,0.1736605521859738
0.15,True,2.0,adj_tol3,icc,0.8417798809377275,0.8425415811962197,0.0005756378907357482,1.3232281452470773
0.15,True,2.0,adj_tol3,mae,2.132159218532519,2.1374453199429198,0.003019112258614066,1.7508793836064482
0.15,True,2.0,mean2,ba_bias,-0.4125662914263892,-0.41048172086205176,0.009398554469346532,0.22179693389406457
0.15,True,2.0,mean2,icc,0.8439179965838897,0.8446466527351324,0.000565058532883341,1.289523312787791
0.15,True,2.0,mean2,mae,2.117475159009091,2.123979465184453,0.002982942994946084,2.180499656340091
0.15,True,2.0,single,ba_bias,-0.4148620689389718,-0.4111259582672077,0.009517143684430554,0.3925663829029023
0.15,True,2.0,single,icc,0.831083153615695,0.8323733579122385,0.0006162802087282499,2.093535178106787
0.15,True,2.0,single,mae,2.218933370701778,2.2271218588371675,0.003238424230890215,2.528540904950733
0.15,True,3.0,adj_tol1,ba_bias,-0.41512153814601294,-0.409199463475701,0.010344825907769032,0.572467311012397
0.15,True,3.0,adj_tol1,icc,0.7560857008682997,0.757380206396335,0.0008199324938645246,1.5787952517089974
0.15,True,3.0,adj_tol1,mae,2.82467532020459,2.83284849174061,0.0036325971697431804,2.2499526245564
0.15,True,3.0,adj_tol2,ba_bias,-0.4137910585247675,-0.4074235922395431,0.010279819052879275,0.6194142379812536
0.15,True,3.0,adj_tol2,icc,0.7592501364930058,0.7599431306604244,0.0008099584133197946,0.8555922822978604
0.15,True,3.0,adj_tol2,mae,2.8002905188597143,2.8095950280650346,0.0035725960709098157,2.604411195848065
0.15,True,3.0,adj_tol3,ba_bias,-0.4100627581498801,-0.4063814755600789,0.01012561216827405,0.3635614843451632
0.15,True,3.0,adj_tol3,icc,0.7607482512869376,0.7615669682288793,0.0008033122079413266,1.0191765217160587
0.15,True,3.0,adj_tol3,mae,2.7886742499646915,2.796510489683588,0.0035542656141170983,2.204742292689635
0.15,True,3.0,mean2,ba_bias,-0.4127977200782889,-0.40838949082606013,0.0100497259474035,0.43864173762546355
0.15,True,3.0,mean2,icc,0.762578177625847,0.7633854542029048,0.0007993960064250623,1.0098581561196358
0.15,True,3.0,mean2,mae,2.776861414221198,2.7855144912618632,0.003535669068420089,2.447366219297165
0.15,True,3.0,single,ba_bias,-0.4150934975908716,-0.40885742515716517,0.01016001280007362,0.6137858835828686
