p_beat_cv,p_view_over,sigma_ai_mm,ref,m,apparent_min,apparent_max,mcse_apparent_max,range_over_max_mcse
0.15,False,3.0,adj_tol2,ba_bias,-0.26083711861237474,-0.2592619189544627,0.010025160908956963,0.1571246259503596
0.15,False,3.0,adj_tol2,icc,0.7651084520930264,0.7658746787704093,0.0008024771300131729,0.9548268090460481
0.15,False,3.0,adj_tol2,mae,2.757685170571627,2.762852592062542,0.0035084445791143414,1.4728525346179608
0.15,False,3.0,adj_tol3,ba_bias,-0.2615270185896934,-0.2586005614895603,0.009922534044567503,0.2949304166646146
0.15,False,3.0,adj_tol3,icc,0.7663830815823083,0.7672028286405295,0.0007999997796675125,1.0246841049904813
0.15,False,3.0,adj_tol3,mae,2.7478701279171474,2.7507094823594853,0.0035032235332269758,0.8104976503519042
0.15,False,3.0,mean2,ba_bias,-0.25993460868041496,-0.25632944052246437,0.009881173244678777,0.3648522365390212
0.15,False,3.0,mean2,icc,0.7674575311590273,0.7684598645484634,0.0007947031098887322,1.2612677325202046
0.15,False,3.0,mean2,mae,2.7393803848102696,2.7416133628772386,0.003478729639770627,0.6418946851863475
0.15,False,3.0,single,ba_bias,-0.25944838983942203,-0.25646034644808,0.009942329665352207,0.3005375492380798
0.15,False,3.0,single,icc,0.7579453524282918,0.7589618733030407,0.0008234249246512808,1.2345034068277692
0.15,False,3.0,single,mae,2.8119190069949815,2.8152494900243257,0.0035860700467460443,0.9287278234752198
0.15,True,1.0,adj_tol1,ba_bias,-0.4167540977623201,-0.4137365296957861,0.009315230727218207,0.32393916531953715
0.15,True,1.0,adj_tol1,icc,0.8928478235402881,0.8940423886476945,0.0004494036969776334,2.6581114384241378
0.15,True,1.0,adj_tol1,mae,1.6608438182077394,1.6652788045254534,0.0030834275902260747,1.4383299714162658
0.15,True,1.0,adj_tol2,ba_bias,-0.414132418276877,-0.41196065845962815,0.009253624396681785,0.23469288617632206
0.15,True,1.0,adj_tol2,icc,0.8971777048719302,0.897823906846806,0.00043093229788584335,1.4995440769840893
0.15,True,1.0,adj_tol2,mae,1.6198002398693236,1.6234102474359444,0.0029450012620621294,1.2258084956109665
0.15,True,1.0,adj_tol3,ba_bias,-0.4117528882580724,-0.4095999008460806,0.009078009480001014,0.23716514250561552
0.15,True,1.0,adj_tol3,icc,0.899449384422336,0.9002083929562666,0.000417894990110304,1.8162661718684063
0.15,True,1.0,adj_tol3,mae,1.5987325839555828,1.6023659484758381,0.0028348821727724525,1.281663328074747
0.15,True,1.0,mean2,ba_bias,-0.4129265570461451,-0.41193778063326186,0.008986270605425051,0.11003189824779185
0.15,True,1.0,mean2,icc,0.9018071186495801,0.902527671274725,0.0004032903205169114,1.78668464995977
0.15,True,1.0,mean2,mae,1.5803566019837263,1.5857053599649784,0.0027749396194556176,1.9275222940892047
0.15,True,1.0,single,ba_bias,-0.4146306402870721,-0.4127250819370611,0.009111014570717536,0.2091488642917319
0.15,True,1.0,single,icc,0.887200446470064,0.888407542125563,0.00046381214774033074,2.602552911518045
0.15,True,1.0,single,mae,1.7165578444658682,1.7224858709652136,0.003134514844096006,1.8912102172720642
0.15,True,2.0,adj_tol1,ba_bias,-0.4152980379911099,-0.41146799658574357,0.009713509864566603,0.3943004597481043
