K,beat_cv,view_over,window,S_median_mm,axis,estimand,estimator,bias_min,bias_min_mcse,bias_min_combo,bias_max,bias_max_mcse,bias_max_combo,bias_range,bias_range_mcse,maxabs_bias,maxabs_bias_mcse,maxabs_bias_combo,maxabs_argmax_clear,rmse_min,rmse_max,rmse_max_mcse,rmse_max_combo,mean_abs_bias
2,0.05,False,0.15,10.0,AP,T1,A2,-3.035459703782074,0.008151558461838394,20/40,-0.4558103529172806,0.0047755093966831055,2.4/8,2.579649350864793,0.009447401513356874,3.035459703782074,0.008151558461838394,20/40,True,1.5774312257963712,3.9823033160542045,0.010488466867032316,20/40,1.585165309716416
2,0.05,False,0.15,10.0,AP,T1,A3,-1.5019027954614155,0.006913730136648214,20/40,0.09295372983606986,0.004845436858030099,2.4/8,1.5948565252974853,0.008442625346866598,1.5019027954614155,0.006913730136648214,20/40,True,1.5350709273996928,2.6524763236625106,0.00888508100505078,20/40,0.4632668723936118
2,0.05,False,0.15,10.0,AP,T1,A4,-1.525383677125986,0.006984568433336761,20/40,0.09258780437953743,0.0048450950166881186,2.4/8,1.6179714815055235,0.008500537743031342,1.525383677125986,0.006984568433336761,20/40,True,1.534940910474311,2.6842440645818013,0.00908554192802556,20/40,0.47879999183429
2,0.05,False,0.15,10.0,AP,T1,A5,-3.035459703782074,0.008151558461838394,20/40,-0.4558103529172806,0.0047755093966831055,2.4/8,2.579649350864793,0.009447401513356874,3.035459703782074,0.008151558461838394,20/40,True,1.5774312257963712,3.9823033160542045,0.010488466867032316,20/40,1.585165309716416
2,0.05,False,0.15,10.0,AP,T1,A6,-2.1044738582987157,0.008096783730869748,20/8,-0.18606501155967817,0.005660641635424429,2.4/20,1.9184088467390374,0.009879310224361698,2.1044738582987157,0.008096783730869748,20/8,False,1.7889223548446231,3.3153295382427075,0.01017818677432055,20/40,0.935048995519947
2,0.05,False,0.15,10.0,AP,T1,A7,0.11275586220862993,0.004818596947000464,2.4/8,0.33778685814529963,0.008018964226977267,20/40,0.2250309959366697,0.009355354820164936,0.33778685814529963,0.008018964226977267,20/40,True,1.5279326946400793,2.5582053055027685,0.011904406824430879,20/40,0.19102091959758913
2,0.05,False,0.15,10.0,AP,T2,A1,0.09869779941346642,0.004844150452340148,4.8/20,0.11593006385685087,0.004435012645468682,20/40,0.01723226444338445,0.006567734066660615,0.11593006385685087,0.004435012645468682,20/40,False,1.4063854869429857,1.5630539048559966,0.004274469553923721,2.4/8,0.10876865378728012
2,0.05,False,0.15,10.0,AP,T2,A2,-1.8310863804421036,0.00687853066005263,2.4/40,0.766056365983716,0.005239496576099392,20/8,2.5971427464258197,0.00864676288632002,1.8310863804421036,0.00687853066005263,2.4/40,True,1.4893135208945232,2.8432812774301683,0.008138776187473865,2.4/40,0.7634404601041479
2,0.05,False,0.15,10.0,AP,T2,A3,0.16230775072688294,0.004853961730319,2.4/40,1.693335243743498,0.007052588606503502,20/8,1.5310274930166152,0.008561539028234609,1.693335243743498,0.007052588606503502,20/8,True,1.5434785745598194,2.8002205473776707,0.009631507897592135,20/8,0.5576220602060488
2,0.05,False,0.15,10.0,AP,T2,A4,0.16214451898454596,0.00485383377143998,2.4/40,1.6035518336218502,0.006901630770524863,20/8,1.441407314637304,0.00843754760421693,1.6035518336218502,0.006901630770524863,20/8,True,1.5432547576946332,2.7082432645296595,0.009318806014964652,20/8,0.5420279531892818
2,0.05,False,0.15,10.0,AP,T2,A5,-1.8310863804421036,0.00687853066005263,2.4/40,0.766056365983716,0.005239496576099392,20/8,2.5971427464258197,0.00864676288632002,1.8310863804421036,0.00687853066005263,2.4/40,True,1.4893135208945232,2.8432812774301683,0.008138776187473865,2.4/40,0.7634404601041479
2,0.05,False,0.15,10.0,AP,T2,A6,0.061838834907385315,0.005109644898927771,20/20,0.07883954493613084,0.005573097672619925,4.8/8,0.017000710028745522,0.0075609449582509335,0.07883954493613084,0.005573097672619925,4.8/8,False,1.6169864045023905,1.7837455224114218,0.004783537109903388,2.4/8,0.07034764877370188
