cell,p_beat_cv,p_sigma_rb_mm,p_ai_draft_sigma_mm,sentinel_n,w_anchor,metric,value,mcse,n,test,mci_lo,mci_hi
1,0.05,0.0,2.0,10,0.0,power_reject_bf_onesided,0.0325,0.003965081966365891,2000,bf_onesided,0.024728582088873644,0.04027141791112636
1,0.05,0.0,2.0,10,0.1,power_reject_bf_onesided,0.09,0.006399218702310462,2000,bf_onesided,0.07745776171534477,0.10254223828465522
1,0.05,0.0,2.0,10,0.2,power_reject_bf_onesided,0.1865,0.008709700052240605,2000,bf_onesided,0.1694293014468103,0.2035706985531897
1,0.05,0.0,2.0,10,0.3,power_reject_bf_onesided,0.3615,0.010742852274884916,2000,bf_onesided,0.34044439628390744,0.38255560371609254
1,0.05,0.0,2.0,10,0.5,power_reject_bf_onesided,0.816,0.008664409962599878,2000,bf_onesided,0.7990180683920628,0.8329819316079371
1,0.05,0.0,2.0,25,0.0,power_reject_bf_onesided,0.033,0.003994433626936364,2000,bf_onesided,0.025171053890815295,0.04082894610918471
1,0.05,0.0,2.0,25,0.1,power_reject_bf_onesided,0.139,0.0077355995242773526,2000,bf_onesided,0.12383850341399927,0.15416149658600076
1,0.05,0.0,2.0,25,0.2,power_reject_bf_onesided,0.3725,0.010810729623850556,2000,bf_onesided,0.35131135912351935,0.39368864087648064
1,0.05,0.0,2.0,25,0.3,power_reject_bf_onesided,0.6825,0.010408980497627998,2000,bf_onesided,0.6620987729479471,0.7029012270520529
1,0.05,0.0,2.0,25,0.5,power_reject_bf_onesided,0.9915,0.0020527725154044657,2000,bf_onesided,0.9874766397696179,0.9955233602303822
1,0.05,0.0,2.0,50,0.0,power_reject_bf_onesided,0.0405,0.004407933189148856,2000,bf_onesided,0.031860609634863056,0.049139390365136947
1,0.05,0.0,2.0,50,0.1,power_reject_bf_onesided,0.2065,0.009051457065025498,2000,bf_onesided,0.18875947000500434,0.22424052999499564
1,0.05,0.0,2.0,50,0.2,power_reject_bf_onesided,0.5865,0.011011760758389187,2000,bf_onesided,0.5649173453369445,0.6080826546630556
1,0.05,0.0,2.0,50,0.3,power_reject_bf_onesided,0.9025,0.006633014020790248,2000,bf_onesided,0.8894995313077558,0.9155004686922441
1,0.05,0.0,2.0,50,0.5,power_reject_bf_onesided,1.0,0.0,2000,bf_onesided,1.0,1.0
1,0.05,0.0,2.0,100,0.0,power_reject_bf_onesided,0.044,0.0045860658521220555,2000,bf_onesided,0.03501147602821145,0.05298852397178855
1,0.05,0.0,2.0,100,0.1,power_reject_bf_onesided,0.31,0.010341663309158734,2000,bf_onesided,0.289730712213928,0.330269287786072
1,0.05,0.0,2.0,100,0.2,power_reject_bf_onesided,0.802,0.008910555538236659,2000,bf_onesided,0.7845356319250556,0.8194643680749445
1,0.05,0.0,2.0,100,0.3,power_reject_bf_onesided,0.986,0.0026271657732240663,2000,bf_onesided,0.9808508496624486,0.9911491503375514
1,0.05,0.0,2.0,100,0.5,power_reject_bf_onesided,1.0,0.0,2000,bf_onesided,1.0,1.0
1,0.05,0.0,2.0,10,0.0,power_reject_either_unadjusted,0.109,0.006968464680257768,2000,either_unadjusted,0.09534206009142326,0.12265793990857674
1,0.05,0.0,2.0,10,0.1,power_reject_either_unadjusted,0.1855,0.008691655480977141,2000,either_unadjusted,0.1684646681568821,0.2025353318431179
1,0.05,0.0,2.0,10,0.2,power_reject_either_unadjusted,0.323,0.010456361699941333,2000,either_unadjusted,0.3025059074971362,0.34349409250286383
