cell,p_beat_cv,p_view_over,n_studies,n_patients,seed,ai,lam,sigma_ai_mm,ref,mse_true,mse_apparent,var_ref,bias_ref,cov_ai_ref,bias_ai,mse_apparent_closed_form,identity_abs_error,mae_true,mae_apparent,apparent_sd_within_mean,apparent_sd_within_mcse,mse_apparent_lambda_form,mse_true_lambda_form
3,0.05,True,500,100000,"SeedSequence(20260920, spawn_key=(5, 3))",inherited,,3.0,mean2,9.100530457472848,11.362396032858546,2.3293594527701615,0.07368894764806659,0.029706861457203887,0.09167056869951348,11.362396032858548,1.7763568394002505e-15,2.406837681387842,2.6791241701998527,3.3464848117031907,0.007950205820357426,,
3,0.05,True,500,100000,"SeedSequence(20260920, spawn_key=(5, 3))",inherited,,3.0,R_img,9.100530457472848,11.141350825215522,2.025483343548969,-0.09504305866520307,0.00556073064214695,0.09167056869951348,11.141350825215522,0.0,2.406837681387842,2.6523267299857722,3.327937313579392,0.008010482979020017,,
6,0.15,False,500,100000,"SeedSequence(20260920, spawn_key=(5, 6))",shared,0.0,1.0,single,1.0045579302675922,4.548172537241789,3.4423169265598967,0.2974155602734827,-0.006226005171807038,-0.0006550675720166032,4.548172537241789,0.0,0.8000512924912224,1.6497860659917822,2.072456992436027,0.00627882204501,4.530772942052686,1.0
6,0.15,False,500,100000,"SeedSequence(20260920, spawn_key=(5, 6))",shared,0.0,1.0,mean2,1.0045579302675922,3.9040826584575385,2.807542251998622,0.29667402717986163,-0.0017891573594382123,-0.0006550675720166032,3.9040826584575377,8.881784197001252e-16,0.8000512924912224,1.5182169471054707,1.912113480389256,0.0055962551495389165,3.8955577304017397,1.0
6,0.15,False,500,100000,"SeedSequence(20260920, spawn_key=(5, 6))",shared,0.0,1.0,R_img,1.0045579302675922,3.657076017093843,2.634836843594914,0.03973094286248634,-0.008025321253022487,-0.0006550675720166032,3.6570760170938423,4.440892098500626e-16,0.8000512924912224,1.4578111141271908,1.9080115190506008,0.0056746478544921755,3.6364153914156563,1.0
6,0.15,False,500,100000,"SeedSequence(20260920, spawn_key=(5, 6))",shared,0.5,1.0,single,1.6556104304162087,2.896536129141577,3.4423169265598967,0.2974155602734827,1.1392101486367872,0.019210403859226562,2.896536129141577,0.0,1.0125713171358093,1.3434550823622244,1.6312954299879325,0.0054064363380750685,2.887187881657771,1.6591038478539142
6,0.15,False,500,100000,"SeedSequence(20260920, spawn_key=(5, 6))",shared,0.5,1.0,mean2,1.6556104304162087,2.263112508878566,2.807542251998622,0.29667402717986163,1.1383285980930227,0.019210403859226562,2.263112508878566,0.0,1.0125713171358093,1.1874136651068068,1.426954278848491,0.0038555837540184203,2.262638928528065,1.6591038478539142
6,0.15,False,500,100000,"SeedSequence(20260920, spawn_key=(5, 6))",shared,0.5,1.0,R_img,1.6556104304162087,1.6717131258268034,2.634836843594914,0.03973094286248634,1.3093931005444344,0.019210403859226562,1.6717131258268032,2.220446049250313e-16,1.0125713171358093,1.0157027957989173,1.2908817391607903,0.003261067490397747,1.6591038478539142,1.6591038478539142
6,0.15,False,500,100000,"SeedSequence(20260920, spawn_key=(5, 6))",shared,1.0,1.0,single,3.6248706262726533,2.563107416749193,3.4423169265598967,0.2974155602734827,2.284646302445381,0.03907587529046973,2.563107416749194,8.881784197001252e-16,1.454763753996119,1.2622159435040778,1.5291489049162028,0.005709250791213311,2.5618105169706844,3.6364153914156563
6,0.15,False,500,100000,"SeedSequence(20260920, spawn_key=(5, 6))",shared,1.0,1.0,mean2,3.6248706262726533,1.9403500550074217,2.807542251998622,0.29667402717986163,2.2784463535454833,0.03907587529046973,1.9403500550074222,4.440892098500626e-16,1.454763753996119,1.1014581064698499,1.3139148109442056,0.003731003565726268,1.9479278223622178,3.6364153914156563
6,0.15,False,500,100000,"SeedSequence(20260920, spawn_key=(5, 6))",shared,1.0,1.0,R_img,3.6248706262726533,1.0045579302675922,2.634836843594914,0.03973094286248634,2.626811522341891,0.03907587529046973,1.0045579302675929,6.661338147750939e-16,1.454763753996119,0.8000512924912224,1.0009702757736723,0.0023423517935779563,1.0,3.6364153914156563
