u_anchor,u_long,mean_under_anchor_pct,mean_under_long_pct,n,quantity,q25,q25_ci_lo,q25_ci_hi,median,median_ci_lo,median_ci_hi,q75,q75_ci_lo,q75_ci_hi,q05,q05_ci_lo,q05_ci_hi,q95,q95_ci_lo,q95_ci_hi,cohort44_median_p025,cohort44_median_p975,cohort44_q25_p025,cohort44_q25_p975,cohort44_q75_p025,cohort44_q75_p975,p_cohort_median_le_9p5,p_cohort_median_le_9p5_mcse,n_cohorts
0.125,0.25,9.973557010035817,19.947114020071634,88000,anchor view 3-beat mean,6.837504562418872,6.807270483919873,6.867571557033691,9.208546322660544,9.173703817572934,9.242533354492393,12.32404564741529,12.281100197902285,12.372763561411906,4.280767149083011,4.2443201574940765,4.309556349335615,18.71537492232759,18.595383895479575,18.81069683575504,7.8602261420968444,10.773880216783166,5.7763357525012236,8.179690506533266,10.35936291398835,14.49693228815979,0.655,0.010629557845931316,2000
0.125,0.25,9.973557010035817,19.947114020071634,88000,long-axis view 3-beat mean,5.983324375716492,5.955568399037336,6.012803813329911,8.300781800876699,8.26699036209341,8.331210222969052,11.359537277405845,11.30698394381823,11.403082923968,3.4739572739490923,3.443304227724223,3.5092070868331713,17.558612426238827,17.45093973538506,17.6900615813305,6.999313791758882,9.845998330983257,4.904103541870259,7.331074164407608,9.413472659974882,13.562043933687924,0.941,0.005268728499363013,2000
0.125,0.25,9.973557010035817,19.947114020071634,88000,long-axis view single beat,5.788040124832837,5.756657559577216,5.816288596106992,8.217402412581883,8.18552964724089,8.25701603837892,11.423834943086343,11.37381821360855,11.4761568737909,3.0347169557032334,3.0047068283892773,3.071572846047477,17.90568795163822,17.790807937590365,18.020312575497403,6.838682815658745,9.768720936704389,4.5688012867396,7.1105439393498795,9.330821081631878,13.625905448383799,0.942,0.005226662414964259,2000
0.125,0.25,9.973557010035817,19.947114020071634,88000,A4 composite,7.580726662917344,7.553973673713223,7.611428760087635,10.046073776710575,10.011726210562841,10.079967245638548,13.277785245784886,13.230391693162128,13.331954726690606,5.011040795218686,4.977696830874814,5.045163165688437,19.85374723194083,19.739730701331926,19.96055163466274,8.637660305843792,11.675875943097925,6.471843492012463,8.936610057001806,11.200603909941558,15.404900343023508,0.2235,0.009315249594079592,2000
0.125,0.5,9.973557010035817,39.89422804014327,88000,T1 AP (true span),7.688525645430812,7.66118857532215,7.716662183214571,10.026603778802262,9.991886840698507,10.057261535198107,13.135391760146264,13.087183461491675,13.183719616865158,5.214724593906883,5.184288067821865,5.244253463177843,19.331684231342862,19.229526052441646,19.44739965457794,8.690132773565004,11.519476389012024,6.612968217918421,9.013960300852698,11.171447964285349,15.352413741904416,0.2275,0.009373999946660976,2000
0.125,0.5,9.973557010035817,39.89422804014327,88000,anchor view 3-beat mean,6.855087371031424,6.822971123767381,6.885089090738322,9.252626683046776,9.21919263481321,9.282414946508064,12.378277025566922,12.331587045863124,12.42904910312582,4.300289946118516,4.272233708091146,4.33041755994416,18.69763577244531,18.581099847842555,18.8083890786346,7.825184489114577,10.739655403399487,5.822904128575285,8.213482860253883,10.342644578185622,14.563964952663694,0.6205,0.010850800661702343,2000
0.125,0.5,9.973557010035817,39.89422804014327,88000,long-axis view 3-beat mean,3.9154794570279425,3.8847986669413572,3.947542782708213,6.448418696974922,6.413032090166353,6.485348191425632,9.532989276064903,9.488058390105904,9.583204470480448,1.3931429464524754,1.3688219720947439,1.4194253346471648,15.679512777718935,15.582653186570468,15.790400273080694,5.072443487201801,7.951149395436267,2.701974536529219,5.3664882270587935,7.6384883767352525,11.631509617146333,1.0,0.0,2000
0.125,0.5,9.973557010035817,39.89422804014327,88000,long-axis view single beat,3.6855888519111684,3.6535136455263837,3.7199210942825633,6.311348022717837,6.276437036627255,6.346746257726522,9.53884528569887,9.488804435086964,9.58700171309123,0.8005930640849681,0.7625048090843507,0.8281636467374867,15.963227096744845,15.854338942083825,16.088247987687083,4.871543967022064,7.910075195529443,2.403670060762677,5.1721887121218995,7.500559103147375,11.740098323976259,1.0,0.0,2000
0.125,0.5,9.973557010035817,39.89422804014327,88000,A4 composite,7.323000756356215,7.292990042481829,7.35010178623178,9.755443316906291,9.719896584897855,9.78859825703996,12.926926861450468,12.882372415603863,12.979113355463289,4.74001129649587,4.708746319184354,4.772953330912242,19.376588811401554,19.25752405073058,19.501383132430142,8.276453306993593,11.331478497369856,6.223782260628301,8.672146344161254,10.872732255178294,15.1427953908741,0.3605,0.010736380907922371,2000
0.25,0.1,19.947114020071634,7.978845608028654,88000,T1 AP (true span),7.64184550590547,7.616043812830847,7.67281642817565,10.01597198185957,9.983597727354097,10.050195355779518,13.1124683666587,13.061589295529972,13.160098676881345,5.160475878079303,5.130934226750551,5.188884415082632,19.416182287203466,19.305697608234798,19.53364242566309,8.668946057253443,11.571247042661321,6.518648343499783,8.953928856255104,11.217498961855249,15.18433239878429,0.233,0.009452803816857726,2000
