cell,u_anchor,u_long,anchor_mean_pct,long_mean_pct,combo,K,beat_cv,view_over,window,S_median_mm,axis,inflation,inflation_mcse,n
64,0.03,0.1,2.4,8.0,2.4/8,4,0.3,False,0.0,10.0,AP,1.678012408463409,0.006765362730685284,100000
64,0.03,0.1,2.4,8.0,2.4/8,4,0.3,False,0.0,10.0,SL,1.1496408648495113,0.004582000892277131,100000
65,0.03,0.1,2.4,8.0,2.4/8,4,0.3,False,0.0,13.0,AP,2.1281943786900475,0.008748749997876813,100000
65,0.03,0.1,2.4,8.0,2.4/8,4,0.3,False,0.0,13.0,SL,1.4254234180657546,0.005785859360062153,100000
66,0.03,0.1,2.4,8.0,2.4/8,4,0.3,False,0.15,10.0,AP,1.9867948203937558,0.007858262450656016,100000
66,0.03,0.1,2.4,8.0,2.4/8,4,0.3,False,0.15,10.0,SL,1.3626952353329869,0.005281798149873521,100000
67,0.03,0.1,2.4,8.0,2.4/8,4,0.3,False,0.15,13.0,AP,2.5442445502722713,0.010102391450049864,100000
67,0.03,0.1,2.4,8.0,2.4/8,4,0.3,False,0.15,13.0,SL,1.6961520718216139,0.006688836699421005,100000
68,0.03,0.1,2.4,8.0,2.4/8,4,0.3,True,0.0,10.0,AP,2.0085185361245976,0.007841743262012792,100000
68,0.03,0.1,2.4,8.0,2.4/8,4,0.3,True,0.0,10.0,SL,1.363793604709659,0.005265765885357222,100000
69,0.03,0.1,2.4,8.0,2.4/8,4,0.3,True,0.0,13.0,AP,2.5569205942100477,0.01012089655007762,100000
69,0.03,0.1,2.4,8.0,2.4/8,4,0.3,True,0.0,13.0,SL,1.6962740000260434,0.00665909775366928,100000
70,0.03,0.1,2.4,8.0,2.4/8,4,0.3,True,0.15,10.0,AP,2.31139955752377,0.008871510245192773,100000
70,0.03,0.1,2.4,8.0,2.4/8,4,0.3,True,0.15,10.0,SL,1.557080124270147,0.005913898598888333,100000
71,0.03,0.1,2.4,8.0,2.4/8,4,0.3,True,0.15,13.0,AP,2.936022860356897,0.011392320319007804,100000
71,0.03,0.1,2.4,8.0,2.4/8,4,0.3,True,0.15,13.0,SL,1.9514743224241131,0.00753022047825855,100000
72,0.03,0.25,2.4,20.0,2.4/20,2,0.05,False,0.0,10.0,AP,0.10019799323809984,0.0010024105612890764,100000
72,0.03,0.25,2.4,20.0,2.4/20,2,0.05,False,0.0,10.0,SL,0.11809811932112198,0.0010186328450503502,100000
73,0.03,0.25,2.4,20.0,2.4/20,2,0.05,False,0.0,13.0,AP,0.0992663265907449,0.001069424199446527,100000
73,0.03,0.25,2.4,20.0,2.4/20,2,0.05,False,0.0,13.0,SL,0.10797182779720137,0.0010051845553839859,100000
74,0.03,0.25,2.4,20.0,2.4/20,2,0.05,False,0.15,10.0,AP,0.12215343737254243,0.0011503487104374006,100000
74,0.03,0.25,2.4,20.0,2.4/20,2,0.05,False,0.15,10.0,SL,0.1502661149874997,0.0012105393882174678,100000
75,0.03,0.25,2.4,20.0,2.4/20,2,0.05,False,0.15,13.0,AP,0.11205863342045512,0.0011521071710660804,100000
75,0.03,0.25,2.4,20.0,2.4/20,2,0.05,False,0.15,13.0,SL,0.12951938683559802,0.001156672855089528,100000
76,0.03,0.25,2.4,20.0,2.4/20,2,0.05,True,0.0,10.0,AP,0.19843687271745628,0.001949381356816952,100000
